序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-03-31 00:00,94,良,PM10
2,天津市,2014-03-31 00:00,147,轻度污染,PM2.5
3,石家庄市,2014-03-31 00:00,183,中度污染,PM2.5
4,唐山市,2014-03-31 00:00,93,良,PM2.5
5,秦皇岛市,2014-03-31 00:00,140,轻度污染,PM2.5
6,邯郸市,2014-03-31 00:00,213,重度污染,PM2.5
7,邢台市,2014-03-31 00:00,203,重度污染,PM2.5
8,保定市,2014-03-31 00:00,160,中度污染,PM10
9,承德市,2014-03-31 00:00,74,良,PM10
10,沧州市,2014-03-31 00:00,182,中度污染,PM2.5
11,廊坊市,2014-03-31 00:00,165,中度污染,PM2.5
12,衡水市,2014-03-31 00:00,152,中度污染,PM10
13,张家口市,2014-03-31 00:00,71,良,PM10
14,太原市,2014-03-31 00:00,88,良,PM10
15,大同市,2014-03-31 00:00,52,良,PM10
16,阳泉市,2014-03-31 00:00,69,良,PM2.5
17,长治市,2014-03-31 00:00,61,良,PM10
18,临汾市,2014-03-31 00:00,69,良,PM2.5
19,呼和浩特市,2014-03-31 00:00,150,轻度污染,PM10
20,包头市,2014-03-31 00:00,82,良,PM10
21,赤峰市,2014-03-31 00:00,108,轻度污染,PM10
22,鄂尔多斯市,2014-03-31 00:00,61,良,PM10
23,沈阳市,2014-03-31 00:00,127,轻度污染,PM10
24,大连市,2014-03-31 00:00,118,轻度污染,PM2.5
25,鞍山市,2014-03-31 00:00,172,中度污染,PM2.5
26,抚顺市,2014-03-31 00:00,107,轻度污染,PM10
27,本溪市,2014-03-31 00:00,129,轻度污染,PM2.5
28,丹东市,2014-03-31 00:00,79,良,PM2.5
29,锦州市,2014-03-31 00:00,207,重度污染,PM2.5
30,营口市,2014-03-31 00:00,113,轻度污染,PM10
31,盘锦市,2014-03-31 00:00,117,轻度污染,PM2.5
32,葫芦岛市,2014-03-31 00:00,150,轻度污染,PM2.5
33,长春市,2014-03-31 00:00,143,轻度污染,PM10
34,吉林市,2014-03-31 00:00,84,良,PM10
35,哈尔滨市,2014-03-31 00:00,104,轻度污染,PM2.5
36,齐齐哈尔市,2014-03-31 00:00,36,优,None
37,大庆市,2014-03-31 00:00,39,优,None
38,牡丹江市,2014-03-31 00:00,57,良,PM10
39,上海市,2014-03-31 00:00,108,轻度污染,PM2.5
40,南京市,2014-03-31 00:00,72,良,PM10
41,无锡市,2014-03-31 00:00,148,轻度污染,PM2.5
42,徐州市,2014-03-31 00:00,77,良,PM2.5
43,常州市,2014-03-31 00:00,113,轻度污染,PM2.5
44,苏州市,2014-03-31 00:00,149,轻度污染,PM2.5
45,南通市,2014-03-31 00:00,100,良,PM2.5
46,连云港市,2014-03-31 00:00,80,良,PM10
47,淮安市,2014-03-31 00:00,94,良,PM2.5
48,盐城市,2014-03-31 00:00,73,良,PM2.5
49,扬州市,2014-03-31 00:00,55,良,PM10
50,镇江市,2014-03-31 00:00,75,良,PM10
51,泰州市,2014-03-31 00:00,78,良,PM2.5
52,宿迁市,2014-03-31 00:00,84,良,PM2.5
53,杭州市,2014-03-31 00:00,110,轻度污染,PM2.5
54,宁波市,2014-03-31 00:00,103,轻度污染,PM2.5
55,温州市,2014-03-31 00:00,144,轻度污染,PM2.5
56,嘉兴市,2014-03-31 00:00,145,轻度污染,PM2.5
57,湖州市,2014-03-31 00:00,166,中度污染,PM2.5
58,金华市,2014-03-31 00:00,220,重度污染,PM2.5
59,衢州市,2014-03-31 00:00,168,中度污染,PM2.5
60,舟山市,2014-03-31 00:00,87,良,PM2.5
61,台州市,2014-03-31 00:00,102,轻度污染,PM2.5
62,丽水市,2014-03-31 00:00,120,轻度污染,PM2.5
63,绍兴市,2014-03-31 00:00,92,良,PM2.5
64,合肥市,2014-03-31 00:00,74,良,PM2.5
65,芜湖市,2014-03-31 00:00,71,良,PM10
66,马鞍山市,2014-03-31 00:00,52,良,PM10
67,福州市,2014-03-31 00:00,94,良,PM2.5
68,厦门市,2014-03-31 00:00,87,良,PM2.5
69,泉州市,2014-03-31 00:00,93,良,PM10
70,南昌市,2014-03-31 00:00,27,优,None
71,九江市,2014-03-31 00:00,55,良,PM2.5
72,济南市,2014-03-31 00:00,161,中度污染,PM10
73,青岛市,2014-03-31 00:00,145,轻度污染,PM2.5
74,淄博市,2014-03-31 00:00,160,中度污染,PM2.5
75,枣庄市,2014-03-31 00:00,118,轻度污染,PM2.5
76,东营市,2014-03-31 00:00,192,中度污染,PM2.5
77,烟台市,2014-03-31 00:00,248,重度污染,PM2.5
78,潍坊市,2014-03-31 00:00,144,轻度污染,PM10
79,济宁市,2014-03-31 00:00,126,轻度污染,PM10
80,泰安市,2014-03-31 00:00,134,轻度污染,PM2.5
81,威海市,2014-03-31 00:00,239,重度污染,PM2.5
82,日照市,2014-03-31 00:00,112,轻度污染,PM2.5
83,莱芜市,2014-03-31 00:00,130,轻度污染,PM2.5
84,临沂市,2014-03-31 00:00,108,轻度污染,PM2.5
85,德州市,2014-03-31 00:00,155,中度污染,PM2.5
86,聊城市,2014-03-31 00:00,124,轻度污染,PM2.5
87,滨州市,2014-03-31 00:00,253,重度污染,PM2.5
88,菏泽市,2014-03-31 00:00,143,轻度污染,PM2.5
89,郑州市,2014-03-31 00:00,132,轻度污染,PM2.5
90,开封市,2014-03-31 00:00,218,重度污染,PM2.5
91,洛阳市,2014-03-31 00:00,75,良,PM2.5
92,平顶山市,2014-03-31 00:00,93,良,PM2.5
93,安阳市,2014-03-31 00:00,218,重度污染,PM2.5
94,焦作市,2014-03-31 00:00,82,良,PM10,PM2.5
95,三门峡市,2014-03-31 00:00,123,轻度污染,PM2.5
96,武汉市,2014-03-31 00:00,105,轻度污染,PM2.5
97,宜昌市,2014-03-31 00:00,124,轻度污染,PM2.5
98,荆州市,2014-03-31 00:00,114,轻度污染,PM2.5
99,长沙市,2014-03-31 00:00,69,良,PM2.5
100,株洲市,2014-03-31 00:00,73,良,PM2.5
101,湘潭市,2014-03-31 00:00,74,良,PM2.5
102,岳阳市,2014-03-31 00:00,82,良,PM10
103,常德市,2014-03-31 00:00,98,良,PM2.5
104,张家界市,2014-03-31 00:00,54,良,PM2.5
105,广州市,2014-03-31 00:00,23,优,None
106,韶关市,2014-03-31 00:00,62,良,PM2.5
107,深圳市,2014-03-31 00:00,22,优,None
108,珠海市,2014-03-31 00:00,25,优,None
109,汕头市,2014-03-31 00:00,43,优,None
110,佛山市,2014-03-31 00:00,21,优,None
111,江门市,2014-03-31 00:00,28,优,None
112,湛江市,2014-03-31 00:00,28,优,None
113,茂名市,2014-03-31 00:00,28,优,None
114,肇庆市,2014-03-31 00:00,28,优,None
115,惠州市,2014-03-31 00:00,26,优,None
116,梅州市,2014-03-31 00:00,24,优,None
117,汕尾市,2014-03-31 00:00,28,优,None
118,河源市,2014-03-31 00:00,28,优,None
119,阳江市,2014-03-31 00:00,18,优,None
120,清远市,2014-03-31 00:00,45,优,None
121,东莞市,2014-03-31 00:00,39,优,None
122,中山市,2014-03-31 00:00,15,优,None
123,潮州市,2014-03-31 00:00,102,轻度污染,PM2.5
124,揭阳市,2014-03-31 00:00,55,良,PM2.5
125,云浮市,2014-03-31 00:00,19,优,None
126,南宁市,2014-03-31 00:00,60,良,PM10
127,柳州市,2014-03-31 00:00,53,良,PM2.5
128,桂林市,2014-03-31 00:00,70,良,PM2.5
129,北海市,2014-03-31 00:00,54,良,PM10
130,海口市,2014-03-31 00:00,26,优,None
131,三亚市,2014-03-31 00:00,22,优,None
132,重庆市,2014-03-31 00:00,34,优,None
133,成都市,2014-03-31 00:00,52,良,PM10
134,自贡市,2014-03-31 00:00,38,优,None
135,攀枝花市,2014-03-31 00:00,97,良,PM10
136,泸州市,2014-03-31 00:00,62,良,PM2.5
137,德阳市,2014-03-31 00:00,41,优,None
138,绵阳市,2014-03-31 00:00,30,优,None
139,南充市,2014-03-31 00:00,82,良,PM2.5
140,宜宾市,2014-03-31 00:00,51,良,PM10
141,贵阳市,2014-03-31 00:00,49,优,None
142,遵义市,2014-03-31 00:00,78,良,PM2.5
143,昆明市,2014-03-31 00:00,76,良,PM10
144,曲靖市,2014-03-31 00:00,79,良,PM10,PM2.5
145,玉溪市,2014-03-31 00:00,104,轻度污染,PM2.5
146,拉萨市,2014-03-31 00:00,52,良,PM10
147,西安市,2014-03-31 00:00,119,轻度污染,PM2.5
148,铜川市,2014-03-31 00:00,99,良,PM2.5
149,宝鸡市,2014-03-31 00:00,70,良,PM10
150,咸阳市,2014-03-31 00:00,102,轻度污染,PM2.5
151,渭南市,2014-03-31 00:00,104,轻度污染,PM2.5
152,延安市,2014-03-31 00:00,54,良,PM2.5
153,兰州市,2014-03-31 00:00,80,良,PM10
154,嘉峪关市,2014-03-31 00:00,76,良,PM10
155,金昌市,2014-03-31 00:00,78,良,PM2.5
156,西宁市,2014-03-31 00:00,65,良,PM2.5
157,银川市,2014-03-31 00:00,81,良,PM10
158,石嘴山市,2014-03-31 00:00,95,良,PM2.5
159,乌鲁木齐市,2014-03-31 00:00,129,轻度污染,PM10
160,克拉玛依市,2014-03-31 00:00,56,良,PM10
161,库尔勒市,2014-03-31 00:00,175,中度污染,PM10
162,北京市,2014-03-30 21:00,79,良,PM10
163,天津市,2014-03-30 21:00,106,轻度污染,PM10
164,石家庄市,2014-03-30 21:00,142,轻度污染,PM2.5
165,唐山市,2014-03-30 21:00,180,中度污染,PM2.5
166,秦皇岛市,2014-03-30 21:00,115,轻度污染,PM2.5
167,邯郸市,2014-03-30 21:00,173,中度污染,PM2.5
168,邢台市,2014-03-30 21:00,196,中度污染,PM2.5
169,保定市,2014-03-30 21:00,107,轻度污染,PM10
170,承德市,2014-03-30 21:00,88,良,PM10
171,沧州市,2014-03-30 21:00,144,轻度污染,PM2.5
172,廊坊市,2014-03-30 21:00,84,良,PM10
173,衡水市,2014-03-30 21:00,149,轻度污染,PM10
174,张家口市,2014-03-30 21:00,60,良,PM10
175,太原市,2014-03-30 21:00,110,轻度污染,PM10
176,大同市,2014-03-30 21:00,52,良,PM10
177,阳泉市,2014-03-30 21:00,99,良,PM2.5
178,长治市,2014-03-30 21:00,64,良,PM10
179,临汾市,2014-03-30 21:00,72,良,PM10,PM2.5
180,呼和浩特市,2014-03-30 21:00,107,轻度污染,PM10
181,包头市,2014-03-30 21:00,85,良,PM10
182,赤峰市,2014-03-30 21:00,77,良,PM10
183,鄂尔多斯市,2014-03-30 21:00,59,良,PM10
184,沈阳市,2014-03-30 21:00,129,轻度污染,PM2.5
185,大连市,2014-03-30 21:00,103,轻度污染,PM2.5
186,鞍山市,2014-03-30 21:00,147,轻度污染,PM2.5
187,抚顺市,2014-03-30 21:00,90,良,PM10
188,本溪市,2014-03-30 21:00,113,轻度污染,PM2.5
189,丹东市,2014-03-30 21:00,69,良,PM2.5
190,锦州市,2014-03-30 21:00,149,轻度污染,PM2.5
191,营口市,2014-03-30 21:00,132,轻度污染,PM2.5
192,盘锦市,2014-03-30 21:00,158,中度污染,PM2.5
193,葫芦岛市,2014-03-30 21:00,99,良,PM10
194,长春市,2014-03-30 21:00,101,轻度污染,PM10
195,吉林市,2014-03-30 21:00,75,良,PM10
196,哈尔滨市,2014-03-30 21:00,68,良,PM10
197,齐齐哈尔市,2014-03-30 21:00,50,优,None
198,大庆市,2014-03-30 21:00,58,良,PM10
199,牡丹江市,2014-03-30 21:00,108,轻度污染,PM2.5
200,上海市,2014-03-30 21:00,155,中度污染,PM2.5
201,南京市,2014-03-30 21:00,73,良,PM10
202,无锡市,2014-03-30 21:00,95,良,PM2.5
203,徐州市,2014-03-30 21:00,73,良,PM10,PM2.5
204,常州市,2014-03-30 21:00,55,良,PM10
205,苏州市,2014-03-30 21:00,113,轻度污染,PM2.5
206,南通市,2014-03-30 21:00,137,轻度污染,PM2.5
207,连云港市,2014-03-30 21:00,114,轻度污染,PM10
208,淮安市,2014-03-30 21:00,70,良,PM2.5
209,盐城市,2014-03-30 21:00,63,良,PM10
210,扬州市,2014-03-30 21:00,66,良,PM10
211,镇江市,2014-03-30 21:00,56,良,PM10
212,泰州市,2014-03-30 21:00,64,良,PM2.5
213,宿迁市,2014-03-30 21:00,79,良,PM2.5
214,杭州市,2014-03-30 21:00,135,轻度污染,PM2.5
215,宁波市,2014-03-30 21:00,84,良,PM2.5
216,温州市,2014-03-30 21:00,139,轻度污染,PM2.5
217,嘉兴市,2014-03-30 21:00,129,轻度污染,PM2.5
218,湖州市,2014-03-30 21:00,123,轻度污染,PM2.5
219,金华市,2014-03-30 21:00,215,重度污染,PM2.5
220,衢州市,2014-03-30 21:00,130,轻度污染,PM2.5
221,舟山市,2014-03-30 21:00,62,良,PM2.5
222,台州市,2014-03-30 21:00,129,轻度污染,PM2.5
223,丽水市,2014-03-30 21:00,98,良,PM2.5
224,绍兴市,2014-03-30 21:00,110,轻度污染,PM2.5
225,合肥市,2014-03-30 21:00,63,良,PM2.5
226,芜湖市,2014-03-30 21:00,70,良,PM10
227,马鞍山市,2014-03-30 21:00,64,良,PM10
228,福州市,2014-03-30 21:00,114,轻度污染,PM2.5
229,厦门市,2014-03-30 21:00,75,良,PM10
230,泉州市,2014-03-30 21:00,92,良,PM2.5
231,南昌市,2014-03-30 21:00,55,良,PM2.5
232,九江市,2014-03-30 21:00,89,良,PM10
233,济南市,2014-03-30 21:00,134,轻度污染,PM10
234,青岛市,2014-03-30 21:00,132,轻度污染,PM2.5
235,淄博市,2014-03-30 21:00,140,轻度污染,PM2.5
236,枣庄市,2014-03-30 21:00,106,轻度污染,PM10
