序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-09-13 00:00,90,良,PM2.5
2,天津市,2014-09-13 00:00,80,良,PM2.5
3,石家庄市,2014-09-13 00:00,58,良,PM10
4,唐山市,2014-09-13 00:00,124,轻度污染,PM2.5
5,秦皇岛市,2014-09-13 00:00,95,良,PM2.5
6,邯郸市,2014-09-13 00:00,83,良,PM2.5
7,邢台市,2014-09-13 00:00,88,良,PM2.5
8,保定市,2014-09-13 00:00,72,良,PM2.5
9,承德市,2014-09-13 00:00,83,良,PM2.5
10,沧州市,2014-09-13 00:00,68,良,PM2.5
11,廊坊市,2014-09-13 00:00,75,良,PM2.5
12,衡水市,2014-09-13 00:00,105,轻度污染,PM2.5
13,张家口市,2014-09-13 00:00,32,优,None
14,太原市,2014-09-13 00:00,35,优,None
15,大同市,2014-09-13 00:00,29,优,None
16,阳泉市,2014-09-13 00:00,57,良,PM10
17,长治市,2014-09-13 00:00,26,优,None
18,临汾市,2014-09-13 00:00,40,优,None
19,呼和浩特市,2014-09-13 00:00,57,良,PM10
20,包头市,2014-09-13 00:00,91,良,PM10
21,赤峰市,2014-09-13 00:00,101,轻度污染,PM10
22,鄂尔多斯市,2014-09-13 00:00,54,良,PM10
23,沈阳市,2014-09-13 00:00,77,良,PM10
24,大连市,2014-09-13 00:00,70,良,PM10
25,鞍山市,2014-09-13 00:00,111,轻度污染,PM10
26,抚顺市,2014-09-13 00:00,71,良,PM10
27,本溪市,2014-09-13 00:00,63,良,PM10
28,丹东市,2014-09-13 00:00,63,良,PM10
29,锦州市,2014-09-13 00:00,69,良,PM10
30,营口市,2014-09-13 00:00,52,良,PM10
31,盘锦市,2014-09-13 00:00,75,良,PM10
32,葫芦岛市,2014-09-13 00:00,73,良,PM10
33,长春市,2014-09-13 00:00,124,轻度污染,PM10
34,吉林市,2014-09-13 00:00,72,良,PM10
35,哈尔滨市,2014-09-13 00:00,75,良,PM10
36,齐齐哈尔市,2014-09-13 00:00,29,优,None
37,大庆市,2014-09-13 00:00,38,优,None
38,牡丹江市,2014-09-13 00:00,52,良,PM10
39,上海市,2014-09-13 00:00,55,良,PM2.5
40,南京市,2014-09-13 00:00,28,优,None
41,无锡市,2014-09-13 00:00,60,良,PM2.5
42,徐州市,2014-09-13 00:00,69,良,PM10
43,常州市,2014-09-13 00:00,39,优,None
44,苏州市,2014-09-13 00:00,64,良,PM2.5
45,南通市,2014-09-13 00:00,28,优,None
46,连云港市,2014-09-13 00:00,25,优,None
47,淮安市,2014-09-13 00:00,27,优,None
48,盐城市,2014-09-13 00:00,31,优,None
49,扬州市,2014-09-13 00:00,30,优,None
50,镇江市,2014-09-13 00:00,25,优,None
51,泰州市,2014-09-13 00:00,25,优,None
52,宿迁市,2014-09-13 00:00,28,优,None
53,杭州市,2014-09-13 00:00,90,良,PM2.5
54,宁波市,2014-09-13 00:00,47,优,None
55,温州市,2014-09-13 00:00,55,良,PM10
56,嘉兴市,2014-09-13 00:00,80,良,PM2.5
57,湖州市,2014-09-13 00:00,63,良,PM2.5
58,金华市,2014-09-13 00:00,35,优,None
59,衢州市,2014-09-13 00:00,56,良,PM10
60,舟山市,2014-09-13 00:00,40,优,None
61,台州市,2014-09-13 00:00,43,优,None
62,丽水市,2014-09-13 00:00,45,优,None
