序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2015-06-17 00:00,95,良,PM2.5
2,天津市,2015-06-17 00:00,127,轻度污染,PM2.5
3,石家庄市,2015-06-17 00:00,102,轻度污染,PM2.5
4,唐山市,2015-06-17 00:00,158,中度污染,PM2.5
5,秦皇岛市,2015-06-17 00:00,204,重度污染,PM2.5
6,邯郸市,2015-06-17 00:00,168,中度污染,PM2.5
7,邢台市,2015-06-17 00:00,129,轻度污染,PM2.5
8,保定市,2015-06-17 00:00,114,轻度污染,PM2.5
9,承德市,2015-06-17 00:00,85,良,PM2.5
10,沧州市,2015-06-17 00:00,145,轻度污染,PM2.5
11,廊坊市,2015-06-17 00:00,113,轻度污染,PM2.5
12,衡水市,2015-06-17 00:00,94,良,PM10
13,张家口市,2015-06-17 00:00,68,良,PM10
14,太原市,2015-06-17 00:00,69,良,PM10
15,大同市,2015-06-17 00:00,64,良,PM10
16,阳泉市,2015-06-17 00:00,84,良,PM10
17,长治市,2015-06-17 00:00,170,中度污染,PM2.5
18,晋城市,2015-06-17 00:00,185,中度污染,PM2.5
19,朔州市,2015-06-17 00:00,95,良,PM2.5
20,晋中市,2015-06-17 00:00,74,良,PM2.5
21,运城市,2015-06-17 00:00,142,轻度污染,PM2.5
22,忻州市,2015-06-17 00:00,78,良,PM2.5
23,临汾市,2015-06-17 00:00,58,良,PM10
24,吕梁市,2015-06-17 00:00,70,良,PM2.5
25,呼和浩特市,2015-06-17 00:00,114,轻度污染,PM10
26,包头市,2015-06-17 00:00,122,轻度污染,PM2.5
27,乌海市,2015-06-17 00:00,76,良,PM10
28,赤峰市,2015-06-17 00:00,57,良,PM10
29,通辽市,2015-06-17 00:00,97,良,PM10
30,鄂尔多斯市,2015-06-17 00:00,78,良,PM2.5
31,呼伦贝尔市,2015-06-17 00:00,53,良,PM2.5
32,巴彦淖尔市,2015-06-17 00:00,126,轻度污染,PM10
33,乌兰察布市,2015-06-17 00:00,92,良,PM2.5
34,兴安盟,2015-06-17 00:00,51,良,PM10
35,锡林郭勒盟,2015-06-17 00:00,91,良,PM10
36,阿拉善盟,2015-06-17 00:00,114,轻度污染,PM10
37,沈阳市,2015-06-17 00:00,103,轻度污染,PM2.5
