序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2015-08-27 00:00,33,优,None
2,天津市,2015-08-27 00:00,62,良,PM2.5
3,石家庄市,2015-08-27 00:00,79,良,PM10
4,唐山市,2015-08-27 00:00,36,优,None
5,秦皇岛市,2015-08-27 00:00,34,优,None
6,邯郸市,2015-08-27 00:00,107,轻度污染,PM2.5
7,邢台市,2015-08-27 00:00,115,轻度污染,PM2.5
8,保定市,2015-08-27 00:00,73,良,PM10
9,承德市,2015-08-27 00:00,27,优,None
10,沧州市,2015-08-27 00:00,47,优,None
11,廊坊市,2015-08-27 00:00,69,良,PM10
12,衡水市,2015-08-27 00:00,55,良,PM10,PM2.5
13,张家口市,2015-08-27 00:00,32,优,None
14,太原市,2015-08-27 00:00,65,良,PM10
15,大同市,2015-08-27 00:00,63,良,PM10
16,阳泉市,2015-08-27 00:00,53,良,PM10
17,长治市,2015-08-27 00:00,54,良,PM10
18,晋城市,2015-08-27 00:00,52,良,PM10
19,朔州市,2015-08-27 00:00,60,良,PM10
20,晋中市,2015-08-27 00:00,68,良,PM10
21,运城市,2015-08-27 00:00,72,良,PM2.5
22,忻州市,2015-08-27 00:00,51,良,PM10
23,临汾市,2015-08-27 00:00,33,优,None
24,吕梁市,2015-08-27 00:00,59,良,PM2.5
25,呼和浩特市,2015-08-27 00:00,70,良,PM10
26,包头市,2015-08-27 00:00,69,良,PM10
27,乌海市,2015-08-27 00:00,42,优,None
28,赤峰市,2015-08-27 00:00,46,优,None
29,通辽市,2015-08-27 00:00,56,良,PM10
30,鄂尔多斯市,2015-08-27 00:00,37,优,None
31,呼伦贝尔市,2015-08-27 00:00,98,良,PM10
32,巴彦淖尔市,2015-08-27 00:00,79,良,PM10
33,乌兰察布市,2015-08-27 00:00,41,优,None
34,兴安盟,2015-08-27 00:00,51,良,PM10
35,锡林郭勒盟,2015-08-27 00:00,52,良,PM10
36,阿拉善盟,2015-08-27 00:00,72,良,PM10
37,沈阳市,2015-08-27 00:00,52,良,PM10
38,大连市,2015-08-27 00:00,33,优,None
39,瓦房店市,2015-08-27 00:00,48,优,None
40,鞍山市,2015-08-27 00:00,100,良,PM2.5
41,抚顺市,2015-08-27 00:00,32,优,None
42,本溪市,2015-08-27 00:00,23,优,None
43,丹东市,2015-08-27 00:00,21,优,None
44,锦州市,2015-08-27 00:00,39,优,None
45,营口市,2015-08-27 00:00,33,优,None
46,阜新市,2015-08-27 00:00,33,优,None
47,辽阳市,2015-08-27 00:00,56,良,PM10
48,盘锦市,2015-08-27 00:00,33,优,None
49,铁岭市,2015-08-27 00:00,45,优,None
50,朝阳市,2015-08-27 00:00,52,良,PM10
51,葫芦岛市,2015-08-27 00:00,51,良,PM10
52,长春市,2015-08-27 00:00,49,优,None
53,吉林市,2015-08-27 00:00,46,优,None
54,四平市,2015-08-27 00:00,55,良,PM10
55,辽源市,2015-08-27 00:00,53,良,PM10
56,通化市,2015-08-27 00:00,49,优,None
57,白山市,2015-08-27 00:00,22,优,None
58,松原市,2015-08-27 00:00,23,优,None
59,白城市,2015-08-27 00:00,60,良,PM2.5
60,延边州,2015-08-27 00:00,20,优,None
61,哈尔滨市,2015-08-27 00:00,44,优,None
62,齐齐哈尔市,2015-08-27 00:00,53,良,PM10
63,鸡西市,2015-08-27 00:00,21,优,None
64,鹤岗市,2015-08-27 00:00,52,良,PM10
65,双鸭山市,2015-08-27 00:00,45,优,None
66,大庆市,2015-08-27 00:00,53,良,PM10
67,伊春市,2015-08-27 00:00,59,良,PM10
68,佳木斯市,2015-08-27 00:00,18,优,None
69,七台河市,2015-08-27 00:00,36,优,None
70,牡丹江市,2015-08-27 00:00,32,优,None
71,黑河市,2015-08-27 00:00,48,优,None
72,绥化市,2015-08-27 00:00,44,优,None
73,大兴安岭地区,2015-08-27 00:00,60,良,PM10
74,上海市,2015-08-27 00:00,202,重度污染,PM2.5
75,南京市,2015-08-27 00:00,67,良,PM2.5
76,无锡市,2015-08-27 00:00,107,轻度污染,PM2.5
77,江阴市,2015-08-27 00:00,143,轻度污染,PM2.5
78,宜兴市,2015-08-27 00:00,99,良,PM2.5
79,徐州市,2015-08-27 00:00,67,良,PM10
80,常州市,2015-08-27 00:00,120,轻度污染,PM2.5
81,溧阳市,2015-08-27 00:00,107,轻度污染,PM2.5
82,金坛市,2015-08-27 00:00,92,良,PM2.5
83,苏州市,2015-08-27 00:00,130,轻度污染,PM2.5
84,常熟市,2015-08-27 00:00,138,轻度污染,PM2.5
85,张家港市,2015-08-27 00:00,175,中度污染,PM2.5
86,昆山市,2015-08-27 00:00,127,轻度污染,PM2.5
87,吴江市,2015-08-27 00:00,120,轻度污染,PM2.5
88,太仓市,2015-08-27 00:00,163,中度污染,PM2.5
89,南通市,2015-08-27 00:00,89,良,PM2.5
90,海门市,2015-08-27 00:00,80,良,PM2.5
91,连云港市,2015-08-27 00:00,58,良,PM2.5
92,淮安市,2015-08-27 00:00,93,良,PM2.5
93,盐城市,2015-08-27 00:00,72,良,PM10
94,扬州市,2015-08-27 00:00,82,良,PM2.5
95,镇江市,2015-08-27 00:00,94,良,PM2.5
96,句容市,2015-08-27 00:00,60,良,PM10
97,泰州市,2015-08-27 00:00,92,良,PM10
98,宿迁市,2015-08-27 00:00,93,良,PM2.5
99,杭州市,2015-08-27 00:00,83,良,PM2.5
100,富阳市,2015-08-27 00:00,81,良,PM10
101,临安市,2015-08-27 00:00,75,良,PM10
102,宁波市,2015-08-27 00:00,100,良,PM2.5
103,温州市,2015-08-27 00:00,59,良,PM10,PM2.5
104,嘉兴市,2015-08-27 00:00,139,轻度污染,PM2.5
105,湖州市,2015-08-27 00:00,87,良,PM2.5
106,诸暨市,2015-08-27 00:00,None,None,None
107,金华市,2015-08-27 00:00,92,良,PM2.5
108,义乌市,2015-08-27 00:00,97,良,PM2.5
109,衢州市,2015-08-27 00:00,92,良,PM2.5
110,舟山市,2015-08-27 00:00,83,良,PM2.5
111,台州市,2015-08-27 00:00,38,优,None
112,丽水市,2015-08-27 00:00,55,良,PM2.5
113,绍兴市,2015-08-27 00:00,72,良,PM2.5
114,合肥市,2015-08-27 00:00,74,良,PM10
115,芜湖市,2015-08-27 00:00,67,良,PM2.5
116,蚌埠市,2015-08-27 00:00,89,良,PM2.5
117,淮南市,2015-08-27 00:00,78,良,PM10
118,马鞍山市,2015-08-27 00:00,95,良,PM2.5
119,淮北市,2015-08-27 00:00,59,良,PM10
120,铜陵市,2015-08-27 00:00,123,轻度污染,PM2.5
121,安庆市,2015-08-27 00:00,64,良,PM2.5
122,黄山市,2015-08-27 00:00,51,良,PM10
123,滁州市,2015-08-27 00:00,82,良,PM2.5
124,阜阳市,2015-08-27 00:00,110,轻度污染,PM2.5
125,宿州市,2015-08-27 00:00,92,良,PM2.5
126,六安市,2015-08-27 00:00,105,轻度污染,PM10
127,亳州市,2015-08-27 00:00,258,重度污染,PM2.5
128,池州市,2015-08-27 00:00,56,良,PM10
129,宣城市,2015-08-27 00:00,59,良,PM10
130,福州市,2015-08-27 00:00,43,优,None
131,厦门市,2015-08-27 00:00,45,优,None
132,莆田市,2015-08-27 00:00,46,优,None
133,三明市,2015-08-27 00:00,66,良,PM10
134,泉州市,2015-08-27 00:00,32,优,None
135,漳州市,2015-08-27 00:00,36,优,None
136,南平市,2015-08-27 00:00,59,良,PM2.5
137,龙岩市,2015-08-27 00:00,57,良,PM10
138,宁德市,2015-08-27 00:00,31,优,None
139,南昌市,2015-08-27 00:00,144,轻度污染,PM10
140,景德镇市,2015-08-27 00:00,94,良,PM2.5
141,萍乡市,2015-08-27 00:00,117,轻度污染,PM2.5
142,九江市,2015-08-27 00:00,123,轻度污染,PM2.5
143,新余市,2015-08-27 00:00,65,良,PM2.5
144,鹰潭市,2015-08-27 00:00,57,良,PM2.5
145,赣州市,2015-08-27 00:00,77,良,PM2.5
146,吉安市,2015-08-27 00:00,61,良,PM10
147,宜春市,2015-08-27 00:00,58,良,PM10
148,抚州市,2015-08-27 00:00,94,良,PM2.5
149,上饶市,2015-08-27 00:00,77,良,PM2.5
150,济南市,2015-08-27 00:00,39,优,None
151,章丘市,2015-08-27 00:00,22,优,None
152,青岛市,2015-08-27 00:00,54,良,PM10
153,胶州市,2015-08-27 00:00,36,优,None
154,即墨市,2015-08-27 00:00,41,优,None
155,平度市,2015-08-27 00:00,30,优,None
