序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-03-25 23:00,226,重度污染,PM2.5
2,天津市,2014-03-25 23:00,260,重度污染,PM2.5
3,石家庄市,2014-03-25 23:00,231,重度污染,PM2.5
4,唐山市,2014-03-25 23:00,303,严重污染,PM2.5
5,秦皇岛市,2014-03-25 23:00,125,轻度污染,PM2.5
6,邯郸市,2014-03-25 23:00,263,重度污染,PM2.5
7,邢台市,2014-03-25 23:00,260,重度污染,PM2.5
8,保定市,2014-03-25 23:00,229,重度污染,PM2.5
9,承德市,2014-03-25 23:00,193,中度污染,PM2.5
10,沧州市,2014-03-25 23:00,188,中度污染,PM2.5
11,廊坊市,2014-03-25 23:00,228,重度污染,PM2.5
12,衡水市,2014-03-25 23:00,226,重度污染,PM2.5
13,张家口市,2014-03-25 23:00,90,良,PM10
14,太原市,2014-03-25 23:00,126,轻度污染,PM10
15,大同市,2014-03-25 23:00,104,轻度污染,PM10
16,阳泉市,2014-03-25 23:00,214,重度污染,PM2.5
17,长治市,2014-03-25 23:00,110,轻度污染,PM2.5
18,临汾市,2014-03-25 23:00,125,轻度污染,PM2.5
19,呼和浩特市,2014-03-25 23:00,179,中度污染,PM10
20,包头市,2014-03-25 23:00,134,轻度污染,PM10
21,赤峰市,2014-03-25 23:00,96,良,PM10
22,鄂尔多斯市,2014-03-25 23:00,78,良,PM10
23,沈阳市,2014-03-25 23:00,246,重度污染,PM2.5
24,大连市,2014-03-25 23:00,53,良,PM10
25,鞍山市,2014-03-25 23:00,147,轻度污染,PM2.5
26,抚顺市,2014-03-25 23:00,127,轻度污染,PM2.5
27,本溪市,2014-03-25 23:00,142,轻度污染,PM2.5
28,丹东市,2014-03-25 23:00,109,轻度污染,PM2.5
29,锦州市,2014-03-25 23:00,198,中度污染,PM2.5
30,营口市,2014-03-25 23:00,99,良,PM2.5
31,盘锦市,2014-03-25 23:00,172,中度污染,PM2.5
32,葫芦岛市,2014-03-25 23:00,135,轻度污染,PM2.5
33,长春市,2014-03-25 23:00,296,重度污染,PM2.5
34,吉林市,2014-03-25 23:00,155,中度污染,PM2.5
35,哈尔滨市,2014-03-25 23:00,251,重度污染,PM2.5
36,齐齐哈尔市,2014-03-25 23:00,79,良,PM2.5
37,大庆市,2014-03-25 23:00,92,良,PM2.5
38,牡丹江市,2014-03-25 23:00,148,轻度污染,PM2.5
39,上海市,2014-03-25 23:00,99,良,PM2.5
40,南京市,2014-03-25 23:00,68,良,PM2.5
41,无锡市,2014-03-25 23:00,104,轻度污染,PM2.5
42,徐州市,2014-03-25 23:00,133,轻度污染,PM2.5
43,常州市,2014-03-25 23:00,65,良,PM2.5
44,苏州市,2014-03-25 23:00,166,中度污染,PM2.5
