序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-04-20 00:00,109,轻度污染,PM2.5
2,天津市,2014-04-20 00:00,125,轻度污染,PM2.5
3,石家庄市,2014-04-20 00:00,127,轻度污染,PM2.5
4,唐山市,2014-04-20 00:00,138,轻度污染,PM2.5
5,秦皇岛市,2014-04-20 00:00,78,良,PM2.5
6,邯郸市,2014-04-20 00:00,132,轻度污染,PM2.5
7,邢台市,2014-04-20 00:00,148,轻度污染,PM2.5
8,保定市,2014-04-20 00:00,103,轻度污染,PM2.5
9,承德市,2014-04-20 00:00,73,良,PM10
10,沧州市,2014-04-20 00:00,60,良,PM2.5
11,廊坊市,2014-04-20 00:00,117,轻度污染,PM2.5
12,衡水市,2014-04-20 00:00,120,轻度污染,PM2.5
13,张家口市,2014-04-20 00:00,52,良,PM10
14,太原市,2014-04-20 00:00,98,良,PM2.5
15,大同市,2014-04-20 00:00,64,良,PM10
16,阳泉市,2014-04-20 00:00,126,轻度污染,PM10
17,长治市,2014-04-20 00:00,95,良,PM2.5
18,临汾市,2014-04-20 00:00,105,轻度污染,PM2.5
19,呼和浩特市,2014-04-20 00:00,52,良,PM10
20,包头市,2014-04-20 00:00,61,良,PM10
21,赤峰市,2014-04-20 00:00,64,良,PM10
22,鄂尔多斯市,2014-04-20 00:00,31,优,None
23,沈阳市,2014-04-20 00:00,79,良,PM10
24,大连市,2014-04-20 00:00,83,良,PM2.5
25,鞍山市,2014-04-20 00:00,73,良,PM10
26,抚顺市,2014-04-20 00:00,99,良,PM10
27,本溪市,2014-04-20 00:00,61,良,PM10
28,丹东市,2014-04-20 00:00,81,良,PM10
29,锦州市,2014-04-20 00:00,78,良,PM2.5
30,营口市,2014-04-20 00:00,55,良,PM10
31,盘锦市,2014-04-20 00:00,65,良,PM2.5
32,葫芦岛市,2014-04-20 00:00,63,良,PM10
33,长春市,2014-04-20 00:00,96,良,PM10
34,吉林市,2014-04-20 00:00,89,良,PM10
35,哈尔滨市,2014-04-20 00:00,105,轻度污染,PM10
