序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-04-01 00:00,None,None,None
2,天津市,2014-04-01 00:00,None,None,None
3,石家庄市,2014-04-01 00:00,None,None,None
4,唐山市,2014-04-01 00:00,None,None,None
5,秦皇岛市,2014-04-01 00:00,None,None,None
6,邯郸市,2014-04-01 00:00,None,None,None
7,邢台市,2014-04-01 00:00,None,None,None
8,保定市,2014-04-01 00:00,None,None,None
9,承德市,2014-04-01 00:00,None,None,None
10,沧州市,2014-04-01 00:00,None,None,None
11,廊坊市,2014-04-01 00:00,None,None,None
12,衡水市,2014-04-01 00:00,None,None,None
13,张家口市,2014-04-01 00:00,None,None,None
14,太原市,2014-04-01 00:00,None,None,None
15,大同市,2014-04-01 00:00,None,None,None
16,阳泉市,2014-04-01 00:00,None,None,None
17,长治市,2014-04-01 00:00,None,None,None
18,临汾市,2014-04-01 00:00,None,None,None
19,呼和浩特市,2014-04-01 00:00,None,None,None
20,包头市,2014-04-01 00:00,None,None,None
21,赤峰市,2014-04-01 00:00,None,None,None
22,鄂尔多斯市,2014-04-01 00:00,None,None,None
23,沈阳市,2014-04-01 00:00,None,None,None
24,大连市,2014-04-01 00:00,None,None,None
25,鞍山市,2014-04-01 00:00,None,None,None
26,抚顺市,2014-04-01 00:00,None,None,None
27,本溪市,2014-04-01 00:00,None,None,None
28,丹东市,2014-04-01 00:00,None,None,None
29,锦州市,2014-04-01 00:00,None,None,None
30,营口市,2014-04-01 00:00,None,None,None
31,盘锦市,2014-04-01 00:00,None,None,None
32,葫芦岛市,2014-04-01 00:00,None,None,None
33,长春市,2014-04-01 00:00,None,None,None
34,吉林市,2014-04-01 00:00,None,None,None
35,哈尔滨市,2014-04-01 00:00,None,None,None
36,齐齐哈尔市,2014-04-01 00:00,None,None,None
37,大庆市,2014-04-01 00:00,None,None,None
38,牡丹江市,2014-04-01 00:00,None,None,None
39,上海市,2014-04-01 00:00,None,None,None
40,南京市,2014-04-01 00:00,None,None,None
41,无锡市,2014-04-01 00:00,None,None,None
42,徐州市,2014-04-01 00:00,None,None,None
43,常州市,2014-04-01 00:00,None,None,None
44,苏州市,2014-04-01 00:00,None,None,None
45,南通市,2014-04-01 00:00,None,None,None
46,连云港市,2014-04-01 00:00,None,None,None
47,淮安市,2014-04-01 00:00,None,None,None
48,盐城市,2014-04-01 00:00,None,None,None
49,扬州市,2014-04-01 00:00,None,None,None
50,镇江市,2014-04-01 00:00,None,None,None
51,泰州市,2014-04-01 00:00,None,None,None
52,宿迁市,2014-04-01 00:00,None,None,None
53,杭州市,2014-04-01 00:00,79,良,PM2.5
54,宁波市,2014-04-01 00:00,None,None,None
55,温州市,2014-04-01 00:00,None,None,None
56,嘉兴市,2014-04-01 00:00,None,None,None
57,湖州市,2014-04-01 00:00,None,None,None
58,金华市,2014-04-01 00:00,None,None,None
59,衢州市,2014-04-01 00:00,None,None,None
60,舟山市,2014-04-01 00:00,None,None,None
61,台州市,2014-04-01 00:00,None,None,None
62,丽水市,2014-04-01 00:00,None,None,None
63,绍兴市,2014-04-01 00:00,None,None,None
64,合肥市,2014-04-01 00:00,None,None,None
65,芜湖市,2014-04-01 00:00,None,None,None
66,马鞍山市,2014-04-01 00:00,None,None,None
67,福州市,2014-04-01 00:00,None,None,None
68,厦门市,2014-04-01 00:00,None,None,None
69,泉州市,2014-04-01 00:00,None,None,None
70,南昌市,2014-04-01 00:00,None,None,None
71,九江市,2014-04-01 00:00,None,None,None
72,济南市,2014-04-01 00:00,None,None,None
73,青岛市,2014-04-01 00:00,None,None,None
74,淄博市,2014-04-01 00:00,None,None,None
75,枣庄市,2014-04-01 00:00,None,None,None
76,东营市,2014-04-01 00:00,None,None,None
77,烟台市,2014-04-01 00:00,None,None,None
78,潍坊市,2014-04-01 00:00,None,None,None
79,济宁市,2014-04-01 00:00,None,None,None
80,泰安市,2014-04-01 00:00,None,None,None
81,威海市,2014-04-01 00:00,None,None,None
82,日照市,2014-04-01 00:00,None,None,None
83,莱芜市,2014-04-01 00:00,None,None,None
84,临沂市,2014-04-01 00:00,None,None,None
85,德州市,2014-04-01 00:00,None,None,None
86,聊城市,2014-04-01 00:00,None,None,None
87,滨州市,2014-04-01 00:00,None,None,None
88,菏泽市,2014-04-01 00:00,None,None,None
89,郑州市,2014-04-01 00:00,None,None,None
90,开封市,2014-04-01 00:00,None,None,None
91,洛阳市,2014-04-01 00:00,None,None,None
92,平顶山市,2014-04-01 00:00,None,None,None
93,安阳市,2014-04-01 00:00,None,None,None
94,焦作市,2014-04-01 00:00,None,None,None
95,三门峡市,2014-04-01 00:00,None,None,None
96,武汉市,2014-04-01 00:00,None,None,None
97,宜昌市,2014-04-01 00:00,None,None,None
98,荆州市,2014-04-01 00:00,None,None,None
99,长沙市,2014-04-01 00:00,None,None,None
100,株洲市,2014-04-01 00:00,None,None,None
101,湘潭市,2014-04-01 00:00,None,None,None
102,岳阳市,2014-04-01 00:00,None,None,None
103,常德市,2014-04-01 00:00,None,None,None
104,张家界市,2014-04-01 00:00,None,None,None
105,广州市,2014-04-01 00:00,None,None,None
106,韶关市,2014-04-01 00:00,None,None,None
107,深圳市,2014-04-01 00:00,None,None,None
108,珠海市,2014-04-01 00:00,None,None,None
109,汕头市,2014-04-01 00:00,None,None,None
110,佛山市,2014-04-01 00:00,None,None,None
111,江门市,2014-04-01 00:00,None,None,None
112,湛江市,2014-04-01 00:00,None,None,None
113,茂名市,2014-04-01 00:00,None,None,None
114,肇庆市,2014-04-01 00:00,None,None,None
115,惠州市,2014-04-01 00:00,None,None,None
116,梅州市,2014-04-01 00:00,None,None,None
117,汕尾市,2014-04-01 00:00,None,None,None
118,河源市,2014-04-01 00:00,None,None,None
119,阳江市,2014-04-01 00:00,None,None,None
120,清远市,2014-04-01 00:00,None,None,None
121,东莞市,2014-04-01 00:00,None,None,None
122,中山市,2014-04-01 00:00,None,None,None
123,潮州市,2014-04-01 00:00,None,None,None
124,揭阳市,2014-04-01 00:00,None,None,None
125,云浮市,2014-04-01 00:00,None,None,None
126,南宁市,2014-04-01 00:00,None,None,None
127,柳州市,2014-04-01 00:00,None,None,None
128,桂林市,2014-04-01 00:00,None,None,None
129,北海市,2014-04-01 00:00,None,None,None
130,海口市,2014-04-01 00:00,None,None,None
131,三亚市,2014-04-01 00:00,None,None,None
132,重庆市,2014-04-01 00:00,65,良,PM2.5
133,成都市,2014-04-01 00:00,None,None,None
134,自贡市,2014-04-01 00:00,None,None,None
135,攀枝花市,2014-04-01 00:00,None,None,None
136,泸州市,2014-04-01 00:00,None,None,None
137,德阳市,2014-04-01 00:00,None,None,None
138,绵阳市,2014-04-01 00:00,None,None,None
139,南充市,2014-04-01 00:00,None,None,None
140,宜宾市,2014-04-01 00:00,None,None,None
141,贵阳市,2014-04-01 00:00,None,None,None
142,遵义市,2014-04-01 00:00,None,None,None
143,昆明市,2014-04-01 00:00,None,None,None
144,曲靖市,2014-04-01 00:00,None,None,None
145,玉溪市,2014-04-01 00:00,None,None,None
146,拉萨市,2014-04-01 00:00,None,None,None
147,西安市,2014-04-01 00:00,None,None,None
148,铜川市,2014-04-01 00:00,None,None,None
149,宝鸡市,2014-04-01 00:00,None,None,None
150,咸阳市,2014-04-01 00:00,None,None,None
151,渭南市,2014-04-01 00:00,None,None,None
152,延安市,2014-04-01 00:00,None,None,None
153,兰州市,2014-04-01 00:00,None,None,None
154,嘉峪关市,2014-04-01 00:00,None,None,None
155,金昌市,2014-04-01 00:00,None,None,None
156,西宁市,2014-04-01 00:00,None,None,None
157,银川市,2014-04-01 00:00,None,None,None
158,石嘴山市,2014-04-01 00:00,None,None,None
159,乌鲁木齐市,2014-04-01 00:00,None,None,None
160,克拉玛依市,2014-04-01 00:00,None,None,None
161,库尔勒市,2014-04-01 00:00,None,None,None
162,北京市,2014-03-31 19:00,80,良,PM2.5
163,天津市,2014-03-31 19:00,125,轻度污染,PM2.5
164,石家庄市,2014-03-31 19:00,66,良,PM10
165,唐山市,2014-03-31 19:00,119,轻度污染,PM2.5
166,秦皇岛市,2014-03-31 19:00,91,良,PM10
167,邯郸市,2014-03-31 19:00,129,轻度污染,PM2.5
168,邢台市,2014-03-31 19:00,91,良,PM10
169,保定市,2014-03-31 19:00,83,良,PM10
170,承德市,2014-03-31 19:00,76,良,PM10
171,沧州市,2014-03-31 19:00,62,良,PM10
172,廊坊市,2014-03-31 19:00,305,严重污染,PM10
173,衡水市,2014-03-31 19:00,115,轻度污染,PM10
174,张家口市,2014-03-31 19:00,30,优,None
175,太原市,2014-03-31 19:00,109,轻度污染,PM2.5
176,大同市,2014-03-31 19:00,52,良,PM10
177,阳泉市,2014-03-31 19:00,57,良,PM2.5
178,长治市,2014-03-31 19:00,58,良,PM10
179,临汾市,2014-03-31 19:00,94,良,PM2.5
180,呼和浩特市,2014-03-31 19:00,83,良,PM10
181,包头市,2014-03-31 19:00,70,良,PM10
182,赤峰市,2014-03-31 19:00,103,轻度污染,PM10
183,鄂尔多斯市,2014-03-31 19:00,40,优,None
184,沈阳市,2014-03-31 19:00,89,良,PM2.5
185,大连市,2014-03-31 19:00,98,良,PM2.5
186,鞍山市,2014-03-31 19:00,124,轻度污染,PM2.5
187,抚顺市,2014-03-31 19:00,70,良,PM10
188,本溪市,2014-03-31 19:00,130,轻度污染,PM2.5
189,丹东市,2014-03-31 19:00,91,良,PM10
190,锦州市,2014-03-31 19:00,73,良,PM10
191,营口市,2014-03-31 19:00,53,良,PM10
192,盘锦市,2014-03-31 19:00,54,良,PM10
193,葫芦岛市,2014-03-31 19:00,59,良,PM2.5
194,长春市,2014-03-31 19:00,66,良,PM10
195,吉林市,2014-03-31 19:00,100,良,PM10
196,哈尔滨市,2014-03-31 19:00,71,良,PM10
197,齐齐哈尔市,2014-03-31 19:00,63,良,PM10
198,大庆市,2014-03-31 19:00,62,良,PM10
199,牡丹江市,2014-03-31 19:00,58,良,PM10
200,上海市,2014-03-31 19:00,69,良,PM2.5
201,南京市,2014-03-31 19:00,76,良,PM10
202,无锡市,2014-03-31 19:00,80,良,PM2.5
203,徐州市,2014-03-31 19:00,59,良,PM10
204,常州市,2014-03-31 19:00,78,良,PM10
205,苏州市,2014-03-31 19:00,88,良,PM2.5
206,南通市,2014-03-31 19:00,79,良,PM2.5
207,连云港市,2014-03-31 19:00,87,良,PM2.5
208,淮安市,2014-03-31 19:00,64,良,PM10
209,盐城市,2014-03-31 19:00,93,良,PM2.5
210,扬州市,2014-03-31 19:00,70,良,PM10
211,镇江市,2014-03-31 19:00,73,良,PM10
212,泰州市,2014-03-31 19:00,79,良,PM2.5
213,宿迁市,2014-03-31 19:00,59,良,PM10
214,杭州市,2014-03-31 19:00,105,轻度污染,PM2.5
215,宁波市,2014-03-31 19:00,82,良,PM2.5
216,温州市,2014-03-31 19:00,36,优,None
217,嘉兴市,2014-03-31 19:00,89,良,PM2.5
218,湖州市,2014-03-31 19:00,72,良,PM2.5
219,金华市,2014-03-31 19:00,38,优,None
220,衢州市,2014-03-31 19:00,62,良,PM2.5
221,舟山市,2014-03-31 19:00,55,良,PM2.5
222,台州市,2014-03-31 19:00,75,良,PM2.5
223,丽水市,2014-03-31 19:00,43,优,None
224,绍兴市,2014-03-31 19:00,108,轻度污染,PM2.5
225,合肥市,2014-03-31 19:00,73,良,PM2.5
226,芜湖市,2014-03-31 19:00,74,良,PM10
227,马鞍山市,2014-03-31 19:00,81,良,PM10
228,福州市,2014-03-31 19:00,43,优,None
229,厦门市,2014-03-31 19:00,82,良,PM2.5
230,泉州市,2014-03-31 19:00,69,良,PM2.5
231,南昌市,2014-03-31 19:00,100,良,PM2.5
232,九江市,2014-03-31 19:00,57,良,PM2.5
233,济南市,2014-03-31 19:00,113,轻度污染,PM10
234,青岛市,2014-03-31 19:00,73,良,PM2.5
235,淄博市,2014-03-31 19:00,156,中度污染,PM2.5
236,枣庄市,2014-03-31 19:00,72,良,PM10
237,东营市,2014-03-31 19:00,125,轻度污染,PM10
238,烟台市,2014-03-31 19:00,51,良,PM10
239,潍坊市,2014-03-31 19:00,81,良,PM10
240,济宁市,2014-03-31 19:00,89,良,PM10
241,泰安市,2014-03-31 19:00,127,轻度污染,PM2.5
242,威海市,2014-03-31 19:00,77,良,PM10
243,日照市,2014-03-31 19:00,119,轻度污染,PM2.5
244,莱芜市,2014-03-31 19:00,165,中度污染,PM2.5
245,临沂市,2014-03-31 19:00,92,良,PM2.5
246,德州市,2014-03-31 19:00,99,良,PM10
247,聊城市,2014-03-31 19:00,97,良,PM10
248,滨州市,2014-03-31 19:00,140,轻度污染,PM2.5
249,菏泽市,2014-03-31 19:00,80,良,PM10
250,郑州市,2014-03-31 19:00,76,良,PM10
251,开封市,2014-03-31 19:00,85,良,PM10
252,洛阳市,2014-03-31 19:00,64,良,PM10
253,平顶山市,2014-03-31 19:00,55,良,PM10
254,安阳市,2014-03-31 19:00,77,良,PM10
255,焦作市,2014-03-31 19:00,57,良,PM10
256,三门峡市,2014-03-31 19:00,128,轻度污染,PM2.5
257,武汉市,2014-03-31 19:00,86,良,PM10
258,宜昌市,2014-03-31 19:00,72,良,PM10
259,荆州市,2014-03-31 19:00,65,良,PM10
260,长沙市,2014-03-31 19:00,72,良,PM2.5
261,株洲市,2014-03-31 19:00,86,良,PM10
262,湘潭市,2014-03-31 19:00,76,良,PM10
