序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-01-16 00:00,496,严重污染,PM2.5
2,天津市,2014-01-16 00:00,301,严重污染,PM2.5
3,石家庄市,2014-01-16 00:00,500,严重污染,PM2.5
4,唐山市,2014-01-16 00:00,420,严重污染,PM2.5
5,秦皇岛市,2014-01-16 00:00,347,严重污染,PM10
6,邯郸市,2014-01-16 00:00,306,严重污染,PM2.5
7,邢台市,2014-01-16 00:00,462,严重污染,PM10
8,保定市,2014-01-16 00:00,500,严重污染,PM10,PM2.5
9,承德市,2014-01-16 00:00,99,良,PM10
10,沧州市,2014-01-16 00:00,297,重度污染,PM2.5
11,廊坊市,2014-01-16 00:00,451,严重污染,PM10,PM2.5
12,衡水市,2014-01-16 00:00,295,重度污染,PM2.5
13,张家口市,2014-01-16 00:00,121,轻度污染,PM10
14,太原市,2014-01-16 00:00,246,重度污染,PM2.5
15,大同市,2014-01-16 00:00,160,中度污染,PM2.5
16,阳泉市,2014-01-16 00:00,131,轻度污染,PM10
17,长治市,2014-01-16 00:00,107,轻度污染,PM2.5
18,晋城市,2014-01-16 00:00,None,None,None
19,朔州市,2014-01-16 00:00,None,None,None
20,晋中市,2014-01-16 00:00,None,None,None
21,运城市,2014-01-16 00:00,None,None,None
22,忻州市,2014-01-16 00:00,None,None,None
23,临汾市,2014-01-16 00:00,158,中度污染,PM2.5
24,吕梁市,2014-01-16 00:00,None,None,None
25,呼和浩特市,2014-01-16 00:00,121,轻度污染,PM10
26,包头市,2014-01-16 00:00,131,轻度污染,PM10
27,乌海市,2014-01-16 00:00,None,None,None
28,赤峰市,2014-01-16 00:00,205,重度污染,PM2.5
29,通辽市,2014-01-16 00:00,None,None,None
30,鄂尔多斯市,2014-01-16 00:00,57,良,PM10
31,呼伦贝尔市,2014-01-16 00:00,None,None,None
32,巴彦淖尔市,2014-01-16 00:00,None,None,None
33,乌兰察布市,2014-01-16 00:00,None,None,None
34,兴安盟,2014-01-16 00:00,None,None,None
35,锡林郭勒盟,2014-01-16 00:00,None,None,None
36,阿拉善盟,2014-01-16 00:00,None,None,None
37,沈阳市,2014-01-16 00:00,212,重度污染,PM2.5
38,大连市,2014-01-16 00:00,335,严重污染,PM2.5
39,鞍山市,2014-01-16 00:00,99,良,PM2.5
40,抚顺市,2014-01-16 00:00,172,中度污染,PM2.5
41,本溪市,2014-01-16 00:00,178,中度污染,PM2.5
42,丹东市,2014-01-16 00:00,149,轻度污染,PM2.5
43,锦州市,2014-01-16 00:00,234,重度污染,PM2.5
44,营口市,2014-01-16 00:00,124,轻度污染,PM2.5
45,阜新市,2014-01-16 00:00,None,None,None
46,辽阳市,2014-01-16 00:00,None,None,None
47,盘锦市,2014-01-16 00:00,190,中度污染,PM2.5
