序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-06-11 00:00,122,轻度污染,PM2.5
2,天津市,2014-06-11 00:00,95,良,PM2.5
3,石家庄市,2014-06-11 00:00,99,良,PM10
4,唐山市,2014-06-11 00:00,133,轻度污染,PM2.5
5,秦皇岛市,2014-06-11 00:00,70,良,PM10
6,邯郸市,2014-06-11 00:00,244,重度污染,PM2.5
7,邢台市,2014-06-11 00:00,186,中度污染,PM2.5
8,保定市,2014-06-11 00:00,98,良,PM2.5
9,承德市,2014-06-11 00:00,24,优,None
10,沧州市,2014-06-11 00:00,97,良,PM2.5
11,廊坊市,2014-06-11 00:00,71,良,PM10
12,衡水市,2014-06-11 00:00,93,良,PM2.5
13,张家口市,2014-06-11 00:00,26,优,None
14,太原市,2014-06-11 00:00,70,良,PM10
15,大同市,2014-06-11 00:00,47,优,None
16,阳泉市,2014-06-11 00:00,97,良,PM10
17,长治市,2014-06-11 00:00,152,中度污染,PM2.5
18,临汾市,2014-06-11 00:00,72,良,PM10
19,呼和浩特市,2014-06-11 00:00,60,良,PM10
20,包头市,2014-06-11 00:00,58,良,PM10
21,赤峰市,2014-06-11 00:00,59,良,PM10
22,鄂尔多斯市,2014-06-11 00:00,52,良,PM10
23,沈阳市,2014-06-11 00:00,92,良,PM2.5
24,大连市,2014-06-11 00:00,54,良,PM10
25,鞍山市,2014-06-11 00:00,64,良,PM2.5
26,抚顺市,2014-06-11 00:00,73,良,PM2.5
27,本溪市,2014-06-11 00:00,53,良,PM2.5
28,丹东市,2014-06-11 00:00,50,优,None
29,锦州市,2014-06-11 00:00,57,良,PM2.5
30,营口市,2014-06-11 00:00,74,良,PM10
31,盘锦市,2014-06-11 00:00,100,良,PM2.5
32,葫芦岛市,2014-06-11 00:00,85,良,PM2.5
33,长春市,2014-06-11 00:00,78,良,PM10
34,吉林市,2014-06-11 00:00,52,良,PM2.5
35,哈尔滨市,2014-06-11 00:00,36,优,None
36,齐齐哈尔市,2014-06-11 00:00,40,优,None
37,大庆市,2014-06-11 00:00,26,优,None
38,牡丹江市,2014-06-11 00:00,42,优,None
39,上海市,2014-06-11 00:00,48,优,None
40,南京市,2014-06-11 00:00,80,良,PM10
41,无锡市,2014-06-11 00:00,47,优,None
42,徐州市,2014-06-11 00:00,215,重度污染,PM2.5
43,常州市,2014-06-11 00:00,59,良,PM10
44,苏州市,2014-06-11 00:00,52,良,PM10
45,南通市,2014-06-11 00:00,73,良,PM2.5
46,连云港市,2014-06-11 00:00,58,良,PM2.5
47,淮安市,2014-06-11 00:00,54,良,PM10
48,盐城市,2014-06-11 00:00,44,优,None
49,扬州市,2014-06-11 00:00,61,良,PM10
50,镇江市,2014-06-11 00:00,60,良,PM2.5
51,泰州市,2014-06-11 00:00,63,良,PM2.5
52,宿迁市,2014-06-11 00:00,76,良,PM10
53,杭州市,2014-06-11 00:00,52,良,PM10
54,宁波市,2014-06-11 00:00,53,良,PM10
55,温州市,2014-06-11 00:00,46,优,None
56,嘉兴市,2014-06-11 00:00,59,良,PM10,PM2.5
57,湖州市,2014-06-11 00:00,45,优,None
58,金华市,2014-06-11 00:00,64,良,PM2.5
59,衢州市,2014-06-11 00:00,70,良,PM2.5
60,舟山市,2014-06-11 00:00,51,良,PM10
61,台州市,2014-06-11 00:00,50,优,None
62,丽水市,2014-06-11 00:00,48,优,None
63,绍兴市,2014-06-11 00:00,74,良,PM2.5
64,合肥市,2014-06-11 00:00,133,轻度污染,PM2.5
65,芜湖市,2014-06-11 00:00,97,良,PM2.5
66,马鞍山市,2014-06-11 00:00,104,轻度污染,PM2.5
67,福州市,2014-06-11 00:00,41,优,None
68,厦门市,2014-06-11 00:00,43,优,None
69,泉州市,2014-06-11 00:00,34,优,None
70,南昌市,2014-06-11 00:00,96,良,PM10
71,九江市,2014-06-11 00:00,68,良,PM2.5
72,济南市,2014-06-11 00:00,183,中度污染,PM2.5
73,青岛市,2014-06-11 00:00,51,良,PM10
74,淄博市,2014-06-11 00:00,119,轻度污染,PM2.5
75,枣庄市,2014-06-11 00:00,282,重度污染,PM2.5
76,东营市,2014-06-11 00:00,69,良,PM10
77,烟台市,2014-06-11 00:00,57,良,PM2.5
78,潍坊市,2014-06-11 00:00,69,良,PM2.5
79,济宁市,2014-06-11 00:00,142,轻度污染,PM2.5
80,泰安市,2014-06-11 00:00,107,轻度污染,PM2.5
81,威海市,2014-06-11 00:00,48,优,None
82,日照市,2014-06-11 00:00,46,优,None
83,莱芜市,2014-06-11 00:00,120,轻度污染,PM2.5
84,临沂市,2014-06-11 00:00,79,良,PM2.5
85,德州市,2014-06-11 00:00,90,良,PM2.5
86,聊城市,2014-06-11 00:00,195,中度污染,PM2.5
87,滨州市,2014-06-11 00:00,133,轻度污染,PM2.5
88,菏泽市,2014-06-11 00:00,144,轻度污染,PM2.5
89,郑州市,2014-06-11 00:00,178,中度污染,PM2.5
90,开封市,2014-06-11 00:00,138,轻度污染,PM2.5
91,洛阳市,2014-06-11 00:00,188,中度污染,PM2.5
92,平顶山市,2014-06-11 00:00,143,轻度污染,PM2.5
93,安阳市,2014-06-11 00:00,350,严重污染,PM2.5
94,焦作市,2014-06-11 00:00,315,严重污染,PM2.5
95,三门峡市,2014-06-11 00:00,80,良,PM10
96,武汉市,2014-06-11 00:00,142,轻度污染,PM2.5
97,宜昌市,2014-06-11 00:00,144,轻度污染,PM2.5
