序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-03-27 00:00,406,严重污染,PM2.5
2,天津市,2014-03-27 00:00,232,重度污染,PM2.5
3,石家庄市,2014-03-27 00:00,219,重度污染,PM2.5
4,唐山市,2014-03-27 00:00,382,严重污染,PM2.5
5,秦皇岛市,2014-03-27 00:00,346,严重污染,PM2.5
6,邯郸市,2014-03-27 00:00,179,中度污染,PM2.5
7,邢台市,2014-03-27 00:00,237,重度污染,PM2.5
8,保定市,2014-03-27 00:00,230,重度污染,PM2.5
9,承德市,2014-03-27 00:00,256,重度污染,PM2.5
10,沧州市,2014-03-27 00:00,210,重度污染,PM2.5
11,廊坊市,2014-03-27 00:00,285,重度污染,PM2.5
12,衡水市,2014-03-27 00:00,222,重度污染,PM2.5
13,张家口市,2014-03-27 00:00,67,良,PM10
14,太原市,2014-03-27 00:00,150,轻度污染,PM10
15,大同市,2014-03-27 00:00,108,轻度污染,PM10
16,阳泉市,2014-03-27 00:00,208,重度污染,PM2.5
17,长治市,2014-03-27 00:00,99,良,PM2.5
18,临汾市,2014-03-27 00:00,110,轻度污染,PM10
19,呼和浩特市,2014-03-27 00:00,150,轻度污染,PM10
20,包头市,2014-03-27 00:00,128,轻度污染,PM10
21,赤峰市,2014-03-27 00:00,70,良,PM10
22,鄂尔多斯市,2014-03-27 00:00,86,良,PM10
23,沈阳市,2014-03-27 00:00,309,严重污染,PM2.5
24,大连市,2014-03-27 00:00,190,中度污染,PM2.5
25,鞍山市,2014-03-27 00:00,316,严重污染,PM2.5
26,抚顺市,2014-03-27 00:00,208,重度污染,PM2.5
27,本溪市,2014-03-27 00:00,248,重度污染,PM2.5
28,丹东市,2014-03-27 00:00,75,良,PM2.5
29,锦州市,2014-03-27 00:00,133,轻度污染,PM2.5
30,营口市,2014-03-27 00:00,193,中度污染,PM2.5
31,盘锦市,2014-03-27 00:00,148,轻度污染,PM2.5
32,葫芦岛市,2014-03-27 00:00,109,轻度污染,PM2.5
33,长春市,2014-03-27 00:00,140,轻度污染,PM2.5
34,吉林市,2014-03-27 00:00,160,中度污染,PM2.5
35,哈尔滨市,2014-03-27 00:00,119,轻度污染,PM2.5
36,齐齐哈尔市,2014-03-27 00:00,48,优,None
37,大庆市,2014-03-27 00:00,205,重度污染,PM2.5
38,牡丹江市,2014-03-27 00:00,139,轻度污染,PM2.5
39,上海市,2014-03-27 00:00,69,良,PM2.5
40,南京市,2014-03-27 00:00,117,轻度污染,PM2.5
41,无锡市,2014-03-27 00:00,137,轻度污染,PM2.5
42,徐州市,2014-03-27 00:00,122,轻度污染,PM2.5
43,常州市,2014-03-27 00:00,127,轻度污染,PM2.5
44,苏州市,2014-03-27 00:00,128,轻度污染,PM2.5
45,南通市,2014-03-27 00:00,114,轻度污染,PM2.5
46,连云港市,2014-03-27 00:00,234,重度污染,PM2.5
47,淮安市,2014-03-27 00:00,142,轻度污染,PM2.5
48,盐城市,2014-03-27 00:00,123,轻度污染,PM2.5
49,扬州市,2014-03-27 00:00,135,轻度污染,PM2.5
50,镇江市,2014-03-27 00:00,129,轻度污染,PM2.5
51,泰州市,2014-03-27 00:00,122,轻度污染,PM2.5
52,宿迁市,2014-03-27 00:00,195,中度污染,PM2.5
53,杭州市,2014-03-27 00:00,178,中度污染,PM2.5
54,宁波市,2014-03-27 00:00,127,轻度污染,PM2.5
55,温州市,2014-03-27 00:00,102,轻度污染,PM2.5
56,嘉兴市,2014-03-27 00:00,166,中度污染,PM2.5
57,湖州市,2014-03-27 00:00,148,轻度污染,PM2.5
58,金华市,2014-03-27 00:00,186,中度污染,PM2.5
59,衢州市,2014-03-27 00:00,143,轻度污染,PM2.5
60,舟山市,2014-03-27 00:00,89,良,PM2.5
61,台州市,2014-03-27 00:00,127,轻度污染,PM2.5
62,丽水市,2014-03-27 00:00,69,良,PM2.5
63,绍兴市,2014-03-27 00:00,172,中度污染,PM2.5
64,合肥市,2014-03-27 00:00,118,轻度污染,PM2.5
65,芜湖市,2014-03-27 00:00,110,轻度污染,PM10
66,马鞍山市,2014-03-27 00:00,102,轻度污染,PM10
67,福州市,2014-03-27 00:00,93,良,PM10
68,厦门市,2014-03-27 00:00,68,良,PM10
69,泉州市,2014-03-27 00:00,55,良,PM10
70,南昌市,2014-03-27 00:00,75,良,PM2.5
71,九江市,2014-03-27 00:00,82,良,PM10
72,济南市,2014-03-27 00:00,128,轻度污染,PM2.5
73,青岛市,2014-03-27 00:00,130,轻度污染,PM2.5
74,淄博市,2014-03-27 00:00,137,轻度污染,PM2.5
75,枣庄市,2014-03-27 00:00,209,重度污染,PM2.5
76,东营市,2014-03-27 00:00,405,严重污染,PM10
77,烟台市,2014-03-27 00:00,200,中度污染,PM2.5
78,潍坊市,2014-03-27 00:00,345,严重污染,PM2.5
79,济宁市,2014-03-27 00:00,122,轻度污染,PM2.5
80,泰安市,2014-03-27 00:00,200,中度污染,PM2.5
81,威海市,2014-03-27 00:00,138,轻度污染,PM2.5
82,日照市,2014-03-27 00:00,243,重度污染,PM2.5
83,莱芜市,2014-03-27 00:00,142,轻度污染,PM2.5
84,临沂市,2014-03-27 00:00,312,严重污染,PM10
85,德州市,2014-03-27 00:00,235,重度污染,PM2.5
86,聊城市,2014-03-27 00:00,166,中度污染,PM2.5
87,滨州市,2014-03-27 00:00,320,严重污染,PM2.5
88,菏泽市,2014-03-27 00:00,110,轻度污染,PM2.5
89,郑州市,2014-03-27 00:00,94,良,PM2.5
90,开封市,2014-03-27 00:00,102,轻度污染,PM2.5
91,洛阳市,2014-03-27 00:00,213,重度污染,PM2.5
92,平顶山市,2014-03-27 00:00,120,轻度污染,PM2.5
93,安阳市,2014-03-27 00:00,114,轻度污染,PM2.5
94,焦作市,2014-03-27 00:00,208,重度污染,PM2.5
95,三门峡市,2014-03-27 00:00,238,重度污染,PM2.5
96,武汉市,2014-03-27 00:00,82,良,PM2.5
97,宜昌市,2014-03-27 00:00,115,轻度污染,PM2.5
98,荆州市,2014-03-27 00:00,115,轻度污染,PM2.5
99,长沙市,2014-03-27 00:00,59,良,PM2.5
100,株洲市,2014-03-27 00:00,75,良,PM2.5
101,湘潭市,2014-03-27 00:00,73,良,PM2.5
102,岳阳市,2014-03-27 00:00,99,良,PM10,PM2.5
103,常德市,2014-03-27 00:00,104,轻度污染,PM2.5
