序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-03-18 23:00,55,良,PM10
2,天津市,2014-03-18 23:00,65,良,PM2.5
3,石家庄市,2014-03-18 23:00,107,轻度污染,PM10
4,唐山市,2014-03-18 23:00,95,良,PM2.5
5,秦皇岛市,2014-03-18 23:00,105,轻度污染,PM10
6,邯郸市,2014-03-18 23:00,101,轻度污染,PM10
7,邢台市,2014-03-18 23:00,159,中度污染,PM10
8,保定市,2014-03-18 23:00,82,良,PM10
9,承德市,2014-03-18 23:00,128,轻度污染,PM10
10,沧州市,2014-03-18 23:00,58,良,PM2.5
11,廊坊市,2014-03-18 23:00,74,良,PM2.5
12,衡水市,2014-03-18 23:00,83,良,PM10
13,张家口市,2014-03-18 23:00,131,轻度污染,PM10
14,太原市,2014-03-18 23:00,135,轻度污染,PM10
15,大同市,2014-03-18 23:00,100,良,PM10
16,阳泉市,2014-03-18 23:00,197,中度污染,PM10
17,长治市,2014-03-18 23:00,144,轻度污染,PM10
18,临汾市,2014-03-18 23:00,68,良,PM10
19,呼和浩特市,2014-03-18 23:00,165,中度污染,PM10
20,包头市,2014-03-18 23:00,151,中度污染,PM10
21,赤峰市,2014-03-18 23:00,127,轻度污染,PM10
22,鄂尔多斯市,2014-03-18 23:00,84,良,PM10
23,沈阳市,2014-03-18 23:00,74,良,PM2.5
24,大连市,2014-03-18 23:00,83,良,PM10
25,鞍山市,2014-03-18 23:00,117,轻度污染,PM2.5
26,抚顺市,2014-03-18 23:00,60,良,PM10
27,本溪市,2014-03-18 23:00,55,良,PM10,PM2.5
28,丹东市,2014-03-18 23:00,43,优,None
29,锦州市,2014-03-18 23:00,87,良,PM2.5
30,营口市,2014-03-18 23:00,82,良,PM10
31,盘锦市,2014-03-18 23:00,56,良,PM10
32,葫芦岛市,2014-03-18 23:00,93,良,PM2.5
33,长春市,2014-03-18 23:00,121,轻度污染,PM10
34,吉林市,2014-03-18 23:00,69,良,PM2.5
35,哈尔滨市,2014-03-18 23:00,69,良,PM10
36,齐齐哈尔市,2014-03-18 23:00,41,优,None
37,大庆市,2014-03-18 23:00,45,优,None
38,牡丹江市,2014-03-18 23:00,74,良,PM2.5
39,上海市,2014-03-18 23:00,185,中度污染,PM10
40,南京市,2014-03-18 23:00,434,严重污染,PM10
41,无锡市,2014-03-18 23:00,340,严重污染,PM10
42,徐州市,2014-03-18 23:00,338,严重污染,PM10
43,常州市,2014-03-18 23:00,305,严重污染,PM10
44,苏州市,2014-03-18 23:00,197,中度污染,PM10
45,南通市,2014-03-18 23:00,191,中度污染,PM10
46,连云港市,2014-03-18 23:00,121,轻度污染,PM10
47,淮安市,2014-03-18 23:00,125,轻度污染,PM10
48,盐城市,2014-03-18 23:00,94,良,PM10
49,扬州市,2014-03-18 23:00,215,重度污染,PM10
50,镇江市,2014-03-18 23:00,325,严重污染,PM10
51,泰州市,2014-03-18 23:00,229,重度污染,PM10
52,宿迁市,2014-03-18 23:00,193,中度污染,PM10
53,杭州市,2014-03-18 23:00,248,重度污染,PM2.5
54,宁波市,2014-03-18 23:00,165,中度污染,PM2.5
55,温州市,2014-03-18 23:00,176,中度污染,PM2.5
56,嘉兴市,2014-03-18 23:00,185,中度污染,PM2.5
57,湖州市,2014-03-18 23:00,222,重度污染,PM2.5
58,金华市,2014-03-18 23:00,122,轻度污染,PM2.5
59,衢州市,2014-03-18 23:00,135,轻度污染,PM2.5
60,舟山市,2014-03-18 23:00,108,轻度污染,PM2.5
61,台州市,2014-03-18 23:00,140,轻度污染,PM2.5
62,丽水市,2014-03-18 23:00,82,良,PM2.5
63,绍兴市,2014-03-18 23:00,253,重度污染,PM2.5
64,合肥市,2014-03-18 23:00,218,重度污染,PM10
65,芜湖市,2014-03-18 23:00,183,中度污染,PM10
66,马鞍山市,2014-03-18 23:00,307,严重污染,PM10
67,福州市,2014-03-18 23:00,90,良,PM10
68,厦门市,2014-03-18 23:00,65,良,PM10
69,泉州市,2014-03-18 23:00,129,轻度污染,PM10
70,南昌市,2014-03-18 23:00,140,轻度污染,PM10
71,九江市,2014-03-18 23:00,91,良,PM10
72,济南市,2014-03-18 23:00,93,良,PM10
73,青岛市,2014-03-18 23:00,74,良,PM10
74,淄博市,2014-03-18 23:00,78,良,PM2.5
75,枣庄市,2014-03-18 23:00,193,中度污染,PM10
76,东营市,2014-03-18 23:00,57,良,PM10
77,烟台市,2014-03-18 23:00,94,良,PM2.5
78,潍坊市,2014-03-18 23:00,87,良,PM2.5
79,济宁市,2014-03-18 23:00,146,轻度污染,PM10
80,泰安市,2014-03-18 23:00,83,良,PM10
81,威海市,2014-03-18 23:00,87,良,PM2.5
82,日照市,2014-03-18 23:00,81,良,PM10
83,莱芜市,2014-03-18 23:00,85,良,PM2.5
84,临沂市,2014-03-18 23:00,95,良,PM10
85,德州市,2014-03-18 23:00,68,良,PM10,PM2.5
86,聊城市,2014-03-18 23:00,91,良,PM10
87,滨州市,2014-03-18 23:00,58,良,PM10
88,菏泽市,2014-03-18 23:00,113,轻度污染,PM10
89,郑州市,2014-03-18 23:00,178,中度污染,PM2.5
90,开封市,2014-03-18 23:00,130,轻度污染,PM2.5
91,洛阳市,2014-03-18 23:00,125,轻度污染,PM2.5
92,平顶山市,2014-03-18 23:00,186,中度污染,PM10
93,安阳市,2014-03-18 23:00,109,轻度污染,PM10
94,焦作市,2014-03-18 23:00,130,轻度污染,PM10
95,三门峡市,2014-03-18 23:00,84,良,PM10
96,武汉市,2014-03-18 23:00,232,重度污染,PM2.5
97,宜昌市,2014-03-18 23:00,207,重度污染,PM2.5
98,荆州市,2014-03-18 23:00,212,重度污染,PM2.5
99,长沙市,2014-03-18 23:00,94,良,PM10
100,株洲市,2014-03-18 23:00,82,良,PM2.5
101,湘潭市,2014-03-18 23:00,84,良,PM10
102,岳阳市,2014-03-18 23:00,83,良,PM10
103,常德市,2014-03-18 23:00,132,轻度污染,PM2.5
104,张家界市,2014-03-18 23:00,132,轻度污染,PM2.5
105,广州市,2014-03-18 23:00,75,良,PM2.5
106,韶关市,2014-03-18 23:00,185,中度污染,PM2.5
107,深圳市,2014-03-18 23:00,55,良,PM10
108,珠海市,2014-03-18 23:00,48,优,None
109,汕头市,2014-03-18 23:00,55,良,PM2.5
110,佛山市,2014-03-18 23:00,57,良,PM10
111,江门市,2014-03-18 23:00,58,良,PM10
112,湛江市,2014-03-18 23:00,35,优,None
113,茂名市,2014-03-18 23:00,52,良,PM10
114,肇庆市,2014-03-18 23:00,83,良,PM2.5
115,惠州市,2014-03-18 23:00,54,良,PM10
116,梅州市,2014-03-18 23:00,97,良,PM2.5
117,汕尾市,2014-03-18 23:00,63,良,PM2.5
118,河源市,2014-03-18 23:00,77,良,PM2.5
119,阳江市,2014-03-18 23:00,52,良,PM2.5
120,清远市,2014-03-18 23:00,137,轻度污染,PM2.5
121,东莞市,2014-03-18 23:00,59,良,PM2.5
122,中山市,2014-03-18 23:00,52,良,PM10
123,潮州市,2014-03-18 23:00,93,良,PM2.5
124,揭阳市,2014-03-18 23:00,94,良,PM2.5
125,云浮市,2014-03-18 23:00,51,良,PM10
126,南宁市,2014-03-18 23:00,62,良,PM2.5
127,柳州市,2014-03-18 23:00,79,良,PM2.5
128,桂林市,2014-03-18 23:00,169,中度污染,PM2.5
129,北海市,2014-03-18 23:00,66,良,PM10
130,海口市,2014-03-18 23:00,39,优,None
131,三亚市,2014-03-18 23:00,28,优,None
132,重庆市,2014-03-18 23:00,140,轻度污染,PM2.5
133,成都市,2014-03-18 23:00,186,中度污染,PM2.5
134,自贡市,2014-03-18 23:00,172,中度污染,PM2.5
135,攀枝花市,2014-03-18 23:00,96,良,PM10
136,泸州市,2014-03-18 23:00,170,中度污染,PM2.5
137,德阳市,2014-03-18 23:00,182,中度污染,PM2.5
138,绵阳市,2014-03-18 23:00,115,轻度污染,PM2.5
139,南充市,2014-03-18 23:00,202,重度污染,PM2.5
140,宜宾市,2014-03-18 23:00,211,重度污染,PM2.5
141,贵阳市,2014-03-18 23:00,75,良,PM2.5
142,遵义市,2014-03-18 23:00,142,轻度污染,PM2.5
143,昆明市,2014-03-18 23:00,76,良,PM10
144,曲靖市,2014-03-18 23:00,67,良,PM10
145,玉溪市,2014-03-18 23:00,67,良,PM2.5
146,拉萨市,2014-03-18 23:00,70,良,PM10
147,西安市,2014-03-18 23:00,103,轻度污染,PM10
148,铜川市,2014-03-18 23:00,135,轻度污染,PM10
149,宝鸡市,2014-03-18 23:00,255,重度污染,PM10
150,咸阳市,2014-03-18 23:00,104,轻度污染,PM10
151,渭南市,2014-03-18 23:00,83,良,PM10
152,延安市,2014-03-18 23:00,177,中度污染,PM10
153,兰州市,2014-03-18 23:00,164,中度污染,PM10
154,嘉峪关市,2014-03-18 23:00,133,轻度污染,PM10
155,金昌市,2014-03-18 23:00,184,中度污染,PM10
156,西宁市,2014-03-18 23:00,240,重度污染,PM10
157,银川市,2014-03-18 23:00,135,轻度污染,PM10
158,石嘴山市,2014-03-18 23:00,91,良,PM10
159,乌鲁木齐市,2014-03-18 23:00,64,良,PM10
160,克拉玛依市,2014-03-18 23:00,73,良,PM2.5
161,库尔勒市,2014-03-18 23:00,197,中度污染,PM10
162,北京市,2014-03-18 22:00,66,良,PM10
163,天津市,2014-03-18 22:00,65,良,PM2.5
164,石家庄市,2014-03-18 22:00,125,轻度污染,PM10
165,唐山市,2014-03-18 22:00,94,良,PM2.5
166,秦皇岛市,2014-03-18 22:00,92,良,PM10
