序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-05-31 00:00,104,轻度污染,PM2.5
2,天津市,2014-05-31 00:00,128,轻度污染,PM2.5
3,石家庄市,2014-05-31 00:00,160,中度污染,PM2.5
4,唐山市,2014-05-31 00:00,140,轻度污染,PM2.5
5,秦皇岛市,2014-05-31 00:00,90,良,PM10
6,邯郸市,2014-05-31 00:00,124,轻度污染,PM2.5
7,邢台市,2014-05-31 00:00,181,中度污染,PM10
8,保定市,2014-05-31 00:00,174,中度污染,PM10
9,承德市,2014-05-31 00:00,113,轻度污染,PM10
10,沧州市,2014-05-31 00:00,132,轻度污染,PM2.5
11,廊坊市,2014-05-31 00:00,109,轻度污染,PM10,PM2.5
12,衡水市,2014-05-31 00:00,176,中度污染,PM10
13,张家口市,2014-05-31 00:00,133,轻度污染,O3
14,太原市,2014-05-31 00:00,103,轻度污染,PM10
15,大同市,2014-05-31 00:00,107,轻度污染,PM10
16,阳泉市,2014-05-31 00:00,176,中度污染,PM10
17,长治市,2014-05-31 00:00,117,轻度污染,PM10
18,临汾市,2014-05-31 00:00,133,轻度污染,PM10
19,呼和浩特市,2014-05-31 00:00,98,良,PM10
20,包头市,2014-05-31 00:00,86,良,PM10
21,赤峰市,2014-05-31 00:00,103,轻度污染,PM10
22,鄂尔多斯市,2014-05-31 00:00,66,良,PM10
23,沈阳市,2014-05-31 00:00,125,轻度污染,PM2.5
24,大连市,2014-05-31 00:00,76,良,PM10
25,鞍山市,2014-05-31 00:00,148,轻度污染,PM2.5
26,抚顺市,2014-05-31 00:00,86,良,PM10
27,本溪市,2014-05-31 00:00,104,轻度污染,PM2.5
28,丹东市,2014-05-31 00:00,106,轻度污染,PM10
29,锦州市,2014-05-31 00:00,84,良,PM10
30,营口市,2014-05-31 00:00,96,良,PM10
31,盘锦市,2014-05-31 00:00,98,良,PM2.5
32,葫芦岛市,2014-05-31 00:00,114,轻度污染,PM10
33,长春市,2014-05-31 00:00,88,良,PM10
34,吉林市,2014-05-31 00:00,71,良,PM10
35,哈尔滨市,2014-05-31 00:00,57,良,PM10
36,齐齐哈尔市,2014-05-31 00:00,38,优,None
37,大庆市,2014-05-31 00:00,40,优,None
38,牡丹江市,2014-05-31 00:00,76,良,PM10
39,上海市,2014-05-31 00:00,84,良,PM10
40,南京市,2014-05-31 00:00,285,重度污染,PM2.5
41,无锡市,2014-05-31 00:00,133,轻度污染,PM2.5
42,徐州市,2014-05-31 00:00,143,轻度污染,PM2.5
43,常州市,2014-05-31 00:00,89,良,PM2.5
44,苏州市,2014-05-31 00:00,288,重度污染,PM2.5
45,南通市,2014-05-31 00:00,288,重度污染,PM2.5
46,连云港市,2014-05-31 00:00,206,重度污染,PM2.5
47,淮安市,2014-05-31 00:00,196,中度污染,PM2.5
48,盐城市,2014-05-31 00:00,258,重度污染,PM2.5
49,扬州市,2014-05-31 00:00,217,重度污染,PM2.5
50,镇江市,2014-05-31 00:00,207,重度污染,PM2.5
51,泰州市,2014-05-31 00:00,147,轻度污染,PM2.5
52,宿迁市,2014-05-31 00:00,154,中度污染,PM10
53,杭州市,2014-05-31 00:00,52,良,PM10
54,宁波市,2014-05-31 00:00,61,良,PM10
55,温州市,2014-05-31 00:00,65,良,PM2.5
56,嘉兴市,2014-05-31 00:00,99,良,PM2.5
57,湖州市,2014-05-31 00:00,64,良,PM2.5
58,金华市,2014-05-31 00:00,89,良,PM2.5
59,衢州市,2014-05-31 00:00,59,良,PM2.5
60,舟山市,2014-05-31 00:00,56,良,PM10
61,台州市,2014-05-31 00:00,69,良,PM2.5
62,丽水市,2014-05-31 00:00,60,良,PM2.5
63,绍兴市,2014-05-31 00:00,36,优,None
64,合肥市,2014-05-31 00:00,206,重度污染,PM10
65,芜湖市,2014-05-31 00:00,109,轻度污染,PM2.5
