序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-01-11 00:00,127,轻度污染,PM2.5
2,天津市,2014-01-11 00:00,277,重度污染,PM2.5
3,石家庄市,2014-01-11 00:00,422,严重污染,PM10
4,唐山市,2014-01-11 00:00,291,重度污染,PM2.5
5,秦皇岛市,2014-01-11 00:00,160,中度污染,PM2.5
6,邯郸市,2014-01-11 00:00,344,严重污染,PM2.5
7,邢台市,2014-01-11 00:00,481,严重污染,PM10
8,保定市,2014-01-11 00:00,405,严重污染,PM2.5
9,承德市,2014-01-11 00:00,97,良,PM2.5
10,沧州市,2014-01-11 00:00,410,严重污染,PM2.5
11,廊坊市,2014-01-11 00:00,312,严重污染,PM2.5
12,衡水市,2014-01-11 00:00,459,严重污染,PM2.5
13,张家口市,2014-01-11 00:00,83,良,PM2.5
14,太原市,2014-01-11 00:00,190,中度污染,PM2.5
15,大同市,2014-01-11 00:00,90,良,PM2.5
16,阳泉市,2014-01-11 00:00,80,良,PM10
17,长治市,2014-01-11 00:00,199,中度污染,PM2.5
18,晋城市,2014-01-11 00:00,None,None,None
19,朔州市,2014-01-11 00:00,None,None,None
20,晋中市,2014-01-11 00:00,None,None,None
21,运城市,2014-01-11 00:00,None,None,None
22,忻州市,2014-01-11 00:00,None,None,None
23,临汾市,2014-01-11 00:00,150,轻度污染,PM2.5
24,吕梁市,2014-01-11 00:00,None,None,None
25,呼和浩特市,2014-01-11 00:00,145,轻度污染,PM2.5
26,包头市,2014-01-11 00:00,195,中度污染,PM2.5
27,乌海市,2014-01-11 00:00,None,None,None
28,赤峰市,2014-01-11 00:00,77,良,PM2.5
29,通辽市,2014-01-11 00:00,None,None,None
30,鄂尔多斯市,2014-01-11 00:00,41,优,None
31,呼伦贝尔市,2014-01-11 00:00,None,None,None
32,巴彦淖尔市,2014-01-11 00:00,None,None,None
33,乌兰察布市,2014-01-11 00:00,None,None,None
34,兴安盟,2014-01-11 00:00,None,None,None
35,锡林郭勒盟,2014-01-11 00:00,None,None,None
36,阿拉善盟,2014-01-11 00:00,None,None,None
37,沈阳市,2014-01-11 00:00,166,中度污染,PM2.5
38,大连市,2014-01-11 00:00,168,中度污染,PM2.5
39,鞍山市,2014-01-11 00:00,97,良,PM2.5
40,抚顺市,2014-01-11 00:00,132,轻度污染,PM2.5
41,本溪市,2014-01-11 00:00,119,轻度污染,PM2.5
42,丹东市,2014-01-11 00:00,152,中度污染,PM2.5
43,锦州市,2014-01-11 00:00,195,中度污染,PM2.5
