序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-03-29 19:00,68,良,PM10
2,天津市,2014-03-29 19:00,101,轻度污染,PM10
3,石家庄市,2014-03-29 19:00,113,轻度污染,PM10
4,唐山市,2014-03-29 19:00,66,良,PM10
5,秦皇岛市,2014-03-29 19:00,75,良,PM10
6,邯郸市,2014-03-29 19:00,166,中度污染,PM2.5
7,邢台市,2014-03-29 19:00,120,轻度污染,PM10
8,保定市,2014-03-29 19:00,122,轻度污染,PM10
9,承德市,2014-03-29 19:00,39,优,None
10,沧州市,2014-03-29 19:00,149,轻度污染,PM2.5
11,廊坊市,2014-03-29 19:00,75,良,PM10
12,衡水市,2014-03-29 19:00,183,中度污染,PM2.5
13,张家口市,2014-03-29 19:00,27,优,None
14,太原市,2014-03-29 19:00,81,良,PM10
15,大同市,2014-03-29 19:00,67,良,PM10
16,阳泉市,2014-03-29 19:00,75,良,PM10
17,长治市,2014-03-29 19:00,59,良,PM10
18,临汾市,2014-03-29 19:00,90,良,PM2.5
19,呼和浩特市,2014-03-29 19:00,77,良,PM10
20,包头市,2014-03-29 19:00,84,良,PM10
21,赤峰市,2014-03-29 19:00,44,优,None
22,鄂尔多斯市,2014-03-29 19:00,52,良,PM10
23,沈阳市,2014-03-29 19:00,49,优,None
24,大连市,2014-03-29 19:00,98,良,PM2.5
25,鞍山市,2014-03-29 19:00,46,优,None
26,抚顺市,2014-03-29 19:00,42,优,None
27,本溪市,2014-03-29 19:00,78,良,PM2.5
28,丹东市,2014-03-29 19:00,39,优,None
29,锦州市,2014-03-29 19:00,49,优,None
30,营口市,2014-03-29 19:00,77,良,PM2.5
31,盘锦市,2014-03-29 19:00,32,优,None
32,葫芦岛市,2014-03-29 19:00,44,优,None
33,长春市,2014-03-29 19:00,62,良,PM10,PM2.5
34,吉林市,2014-03-29 19:00,53,良,PM10
35,哈尔滨市,2014-03-29 19:00,75,良,PM10
36,齐齐哈尔市,2014-03-29 19:00,51,良,PM10
37,大庆市,2014-03-29 19:00,57,良,PM2.5
38,牡丹江市,2014-03-29 19:00,53,良,PM10
39,上海市,2014-03-29 19:00,85,良,PM2.5
40,南京市,2014-03-29 19:00,232,重度污染,PM2.5
41,无锡市,2014-03-29 19:00,163,中度污染,PM2.5
42,徐州市,2014-03-29 19:00,145,轻度污染,PM10
43,常州市,2014-03-29 19:00,166,中度污染,PM2.5
44,苏州市,2014-03-29 19:00,176,中度污染,PM2.5
45,南通市,2014-03-29 19:00,118,轻度污染,PM2.5
46,连云港市,2014-03-29 19:00,142,轻度污染,PM2.5
47,淮安市,2014-03-29 19:00,133,轻度污染,PM2.5
48,盐城市,2014-03-29 19:00,107,轻度污染,PM2.5
49,扬州市,2014-03-29 19:00,95,良,PM2.5
50,镇江市,2014-03-29 19:00,190,中度污染,PM2.5
51,泰州市,2014-03-29 19:00,120,轻度污染,PM2.5
52,宿迁市,2014-03-29 19:00,170,中度污染,PM2.5
