序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-04-02 23:00,98,良,PM10
2,天津市,2014-04-02 23:00,85,良,PM10
3,石家庄市,2014-04-02 23:00,290,重度污染,PM10
4,唐山市,2014-04-02 23:00,91,良,PM10
5,秦皇岛市,2014-04-02 23:00,69,良,PM10
6,邯郸市,2014-04-02 23:00,156,中度污染,PM2.5
7,邢台市,2014-04-02 23:00,338,严重污染,PM10
8,保定市,2014-04-02 23:00,99,良,PM10
9,承德市,2014-04-02 23:00,53,良,PM10
10,沧州市,2014-04-02 23:00,68,良,PM10
11,廊坊市,2014-04-02 23:00,89,良,PM10
12,衡水市,2014-04-02 23:00,160,中度污染,PM10
13,张家口市,2014-04-02 23:00,56,良,PM10
14,太原市,2014-04-02 23:00,78,良,PM10
15,大同市,2014-04-02 23:00,64,良,PM10
16,阳泉市,2014-04-02 23:00,62,良,PM2.5
17,长治市,2014-04-02 23:00,72,良,PM10
18,临汾市,2014-04-02 23:00,75,良,PM2.5
19,呼和浩特市,2014-04-02 23:00,78,良,PM10
20,包头市,2014-04-02 23:00,323,严重污染,PM10
21,赤峰市,2014-04-02 23:00,51,良,PM10
22,鄂尔多斯市,2014-04-02 23:00,57,良,PM10
23,沈阳市,2014-04-02 23:00,64,良,PM10
24,大连市,2014-04-02 23:00,85,良,PM10
25,鞍山市,2014-04-02 23:00,63,良,PM10
26,抚顺市,2014-04-02 23:00,57,良,PM10
27,本溪市,2014-04-02 23:00,47,优,None
28,丹东市,2014-04-02 23:00,67,良,PM2.5
29,锦州市,2014-04-02 23:00,58,良,PM10
30,营口市,2014-04-02 23:00,63,良,PM10
31,盘锦市,2014-04-02 23:00,58,良,PM10
32,葫芦岛市,2014-04-02 23:00,63,良,PM10
33,长春市,2014-04-02 23:00,68,良,PM10
34,吉林市,2014-04-02 23:00,52,良,PM10
35,哈尔滨市,2014-04-02 23:00,40,优,None
36,齐齐哈尔市,2014-04-02 23:00,47,优,None
37,大庆市,2014-04-02 23:00,34,优,None
38,牡丹江市,2014-04-02 23:00,69,良,PM2.5
39,上海市,2014-04-02 23:00,72,良,PM2.5
40,南京市,2014-04-02 23:00,100,良,PM2.5
41,无锡市,2014-04-02 23:00,67,良,PM2.5
42,徐州市,2014-04-02 23:00,117,轻度污染,PM2.5
43,常州市,2014-04-02 23:00,62,良,PM2.5
44,苏州市,2014-04-02 23:00,60,良,PM2.5
45,南通市,2014-04-02 23:00,90,良,PM2.5
46,连云港市,2014-04-02 23:00,67,良,PM10
47,淮安市,2014-04-02 23:00,79,良,PM2.5
48,盐城市,2014-04-02 23:00,60,良,PM2.5
49,扬州市,2014-04-02 23:00,96,良,PM10
50,镇江市,2014-04-02 23:00,77,良,PM10
51,泰州市,2014-04-02 23:00,83,良,PM2.5
52,宿迁市,2014-04-02 23:00,98,良,PM2.5
53,杭州市,2014-04-02 23:00,69,良,PM2.5
54,宁波市,2014-04-02 23:00,52,良,PM10
55,温州市,2014-04-02 23:00,85,良,PM2.5
56,嘉兴市,2014-04-02 23:00,63,良,PM2.5
57,湖州市,2014-04-02 23:00,68,良,PM2.5
58,金华市,2014-04-02 23:00,85,良,PM2.5
59,衢州市,2014-04-02 23:00,63,良,PM10
60,舟山市,2014-04-02 23:00,36,优,None
61,台州市,2014-04-02 23:00,53,良,PM10
62,丽水市,2014-04-02 23:00,63,良,PM2.5
63,绍兴市,2014-04-02 23:00,79,良,PM10
64,合肥市,2014-04-02 23:00,89,良,PM2.5
65,芜湖市,2014-04-02 23:00,121,轻度污染,PM10
66,马鞍山市,2014-04-02 23:00,90,良,PM2.5
67,福州市,2014-04-02 23:00,63,良,PM10
68,厦门市,2014-04-02 23:00,63,良,PM2.5
69,泉州市,2014-04-02 23:00,31,优,None
70,南昌市,2014-04-02 23:00,65,良,PM10
71,九江市,2014-04-02 23:00,76,良,PM10
72,济南市,2014-04-02 23:00,388,严重污染,PM10
73,青岛市,2014-04-02 23:00,51,良,PM10
74,淄博市,2014-04-02 23:00,138,轻度污染,PM2.5
75,枣庄市,2014-04-02 23:00,172,中度污染,PM2.5
76,东营市,2014-04-02 23:00,96,良,PM10
77,烟台市,2014-04-02 23:00,122,轻度污染,PM2.5
78,潍坊市,2014-04-02 23:00,122,轻度污染,PM2.5
79,济宁市,2014-04-02 23:00,130,轻度污染,PM2.5
