序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-08-24 23:00,63,良,PM10
2,天津市,2014-08-24 23:00,63,良,PM10
3,石家庄市,2014-08-24 23:00,69,良,PM10
4,唐山市,2014-08-24 23:00,43,优,None
5,秦皇岛市,2014-08-24 23:00,33,优,None
6,邯郸市,2014-08-24 23:00,62,良,PM10
7,邢台市,2014-08-24 23:00,64,良,PM10
8,保定市,2014-08-24 23:00,94,良,PM10
9,承德市,2014-08-24 23:00,27,优,None
10,沧州市,2014-08-24 23:00,90,良,PM10,PM2.5
11,廊坊市,2014-08-24 23:00,64,良,PM10
12,衡水市,2014-08-24 23:00,113,轻度污染,PM10
13,张家口市,2014-08-24 23:00,23,优,None
14,太原市,2014-08-24 23:00,36,优,None
15,大同市,2014-08-24 23:00,65,良,PM10
16,阳泉市,2014-08-24 23:00,71,良,PM10
17,长治市,2014-08-24 23:00,53,良,PM2.5
18,临汾市,2014-08-24 23:00,36,优,None
19,呼和浩特市,2014-08-24 23:00,58,良,PM10
20,包头市,2014-08-24 23:00,75,良,PM10
21,赤峰市,2014-08-24 23:00,56,良,PM10
22,鄂尔多斯市,2014-08-24 23:00,47,优,None
23,沈阳市,2014-08-24 23:00,45,优,None
24,大连市,2014-08-24 23:00,40,优,None
25,鞍山市,2014-08-24 23:00,63,良,PM2.5
26,抚顺市,2014-08-24 23:00,55,良,PM2.5
27,本溪市,2014-08-24 23:00,55,良,PM10
28,丹东市,2014-08-24 23:00,74,良,PM2.5
29,锦州市,2014-08-24 23:00,23,优,None
30,营口市,2014-08-24 23:00,28,优,None
31,盘锦市,2014-08-24 23:00,43,优,None
32,葫芦岛市,2014-08-24 23:00,39,优,None
33,长春市,2014-08-24 23:00,135,轻度污染,PM10
34,吉林市,2014-08-24 23:00,77,良,PM10
35,哈尔滨市,2014-08-24 23:00,55,良,PM10
36,齐齐哈尔市,2014-08-24 23:00,29,优,None
37,大庆市,2014-08-24 23:00,41,优,None
38,牡丹江市,2014-08-24 23:00,53,良,PM10
39,上海市,2014-08-24 23:00,33,优,None
40,南京市,2014-08-24 23:00,25,优,None
41,无锡市,2014-08-24 23:00,34,优,None
42,徐州市,2014-08-24 23:00,70,良,PM2.5
43,常州市,2014-08-24 23:00,23,优,None
44,苏州市,2014-08-24 23:00,32,优,None
45,南通市,2014-08-24 23:00,54,良,PM10
46,连云港市,2014-08-24 23:00,60,良,PM2.5
47,淮安市,2014-08-24 23:00,62,良,PM2.5
48,盐城市,2014-08-24 23:00,25,优,None
49,扬州市,2014-08-24 23:00,20,优,None
50,镇江市,2014-08-24 23:00,29,优,None
51,泰州市,2014-08-24 23:00,18,优,None
52,宿迁市,2014-08-24 23:00,54,良,PM10
53,杭州市,2014-08-24 23:00,33,优,None
54,宁波市,2014-08-24 23:00,60,良,PM10
55,温州市,2014-08-24 23:00,56,良,PM10
56,嘉兴市,2014-08-24 23:00,29,优,None
57,湖州市,2014-08-24 23:00,32,优,None
58,金华市,2014-08-24 23:00,52,良,PM10,PM2.5
59,衢州市,2014-08-24 23:00,57,良,PM2.5
60,舟山市,2014-08-24 23:00,36,优,None
61,台州市,2014-08-24 23:00,43,优,None
62,丽水市,2014-08-24 23:00,49,优,None
63,绍兴市,2014-08-24 23:00,75,良,PM2.5
64,合肥市,2014-08-24 23:00,35,优,None
65,芜湖市,2014-08-24 23:00,43,优,None
66,马鞍山市,2014-08-24 23:00,49,优,None
67,福州市,2014-08-24 23:00,67,良,PM10
68,厦门市,2014-08-24 23:00,19,优,None
69,泉州市,2014-08-24 23:00,40,优,None
70,南昌市,2014-08-24 23:00,39,优,None
71,九江市,2014-08-24 23:00,42,优,None
72,济南市,2014-08-24 23:00,66,良,PM10
73,青岛市,2014-08-24 23:00,73,良,PM2.5
74,淄博市,2014-08-24 23:00,82,良,PM2.5
75,枣庄市,2014-08-24 23:00,97,良,PM2.5
76,东营市,2014-08-24 23:00,57,良,PM10
77,烟台市,2014-08-24 23:00,58,良,PM2.5
78,潍坊市,2014-08-24 23:00,60,良,PM10
79,济宁市,2014-08-24 23:00,108,轻度污染,PM2.5
80,泰安市,2014-08-24 23:00,67,良,PM10
81,威海市,2014-08-24 23:00,43,优,None
82,日照市,2014-08-24 23:00,70,良,PM2.5
83,莱芜市,2014-08-24 23:00,84,良,PM2.5
84,临沂市,2014-08-24 23:00,121,轻度污染,PM10
85,德州市,2014-08-24 23:00,101,轻度污染,PM10
86,聊城市,2014-08-24 23:00,81,良,PM10
87,滨州市,2014-08-24 23:00,73,良,PM2.5
88,菏泽市,2014-08-24 23:00,122,轻度污染,PM2.5
89,郑州市,2014-08-24 23:00,88,良,PM10
90,开封市,2014-08-24 23:00,102,轻度污染,PM2.5
91,洛阳市,2014-08-24 23:00,51,良,PM10
92,平顶山市,2014-08-24 23:00,82,良,PM10
93,安阳市,2014-08-24 23:00,58,良,PM10
94,焦作市,2014-08-24 23:00,113,轻度污染,PM10
95,三门峡市,2014-08-24 23:00,68,良,PM10
96,武汉市,2014-08-24 23:00,63,良,PM10
97,宜昌市,2014-08-24 23:00,58,良,PM10
98,荆州市,2014-08-24 23:00,44,优,None
99,长沙市,2014-08-24 23:00,51,良,PM10
100,株洲市,2014-08-24 23:00,39,优,None
101,湘潭市,2014-08-24 23:00,43,优,None
102,岳阳市,2014-08-24 23:00,53,良,PM10
103,常德市,2014-08-24 23:00,45,优,None
104,张家界市,2014-08-24 23:00,47,优,None
105,广州市,2014-08-24 23:00,52,良,PM10
106,韶关市,2014-08-24 23:00,57,良,PM10
107,深圳市,2014-08-24 23:00,29,优,None
108,珠海市,2014-08-24 23:00,19,优,None
109,汕头市,2014-08-24 23:00,38,优,None
110,佛山市,2014-08-24 23:00,33,优,None
111,江门市,2014-08-24 23:00,27,优,None
112,湛江市,2014-08-24 23:00,14,优,None
113,茂名市,2014-08-24 23:00,23,优,None
114,肇庆市,2014-08-24 23:00,51,良,PM10
115,惠州市,2014-08-24 23:00,29,优,None
116,梅州市,2014-08-24 23:00,56,良,PM10
117,汕尾市,2014-08-24 23:00,17,优,None
118,河源市,2014-08-24 23:00,35,优,None
119,阳江市,2014-08-24 23:00,17,优,None
120,清远市,2014-08-24 23:00,59,良,PM2.5
