368,北京市,2015-01-07 23:00,119,轻度污染,PM2.5
369,天津市,2015-01-07 23:00,55,良,PM10
370,石家庄市,2015-01-07 23:00,228,重度污染,PM2.5
371,唐山市,2015-01-07 23:00,64,良,PM10
372,秦皇岛市,2015-01-07 23:00,93,良,PM10
373,邯郸市,2015-01-07 23:00,192,中度污染,PM2.5
374,邢台市,2015-01-07 23:00,249,重度污染,PM2.5
375,保定市,2015-01-07 23:00,341,严重污染,PM2.5
376,承德市,2015-01-07 23:00,95,良,PM2.5
377,沧州市,2015-01-07 23:00,192,中度污染,PM2.5
378,廊坊市,2015-01-07 23:00,67,良,PM2.5
379,衡水市,2015-01-07 23:00,137,轻度污染,PM2.5
380,张家口市,2015-01-07 23:00,87,良,PM2.5
381,太原市,2015-01-07 23:00,222,重度污染,PM2.5
382,大同市,2015-01-07 23:00,109,轻度污染,PM10
383,阳泉市,2015-01-07 23:00,110,轻度污染,PM10
384,长治市,2015-01-07 23:00,122,轻度污染,PM2.5
385,晋城市,2015-01-07 23:00,169,中度污染,PM2.5
386,朔州市,2015-01-07 23:00,87,良,PM2.5
387,晋中市,2015-01-07 23:00,160,中度污染,PM2.5
388,运城市,2015-01-07 23:00,149,轻度污染,PM2.5
389,忻州市,2015-01-07 23:00,206,重度污染,PM2.5
390,临汾市,2015-01-07 23:00,165,中度污染,PM2.5
391,吕梁市,2015-01-07 23:00,104,轻度污染,PM2.5
392,呼和浩特市,2015-01-07 23:00,142,轻度污染,PM2.5
393,包头市,2015-01-07 23:00,211,重度污染,PM2.5
394,乌海市,2015-01-07 23:00,118,轻度污染,PM10
395,赤峰市,2015-01-07 23:00,198,中度污染,PM2.5
396,通辽市,2015-01-07 23:00,135,轻度污染,PM2.5
397,鄂尔多斯市,2015-01-07 23:00,114,轻度污染,PM10
398,呼伦贝尔市,2015-01-07 23:00,99,良,PM2.5
399,巴彦淖尔市,2015-01-07 23:00,119,轻度污染,PM10
400,乌兰察布市,2015-01-07 23:00,63,良,PM2.5
401,兴安盟,2015-01-07 23:00,125,轻度污染,PM2.5
402,锡林郭勒盟,2015-01-07 23:00,38,优,None
403,阿拉善盟,2015-01-07 23:00,104,轻度污染,PM10
404,沈阳市,2015-01-07 23:00,98,良,PM2.5
405,大连市,2015-01-07 23:00,43,优,None
406,瓦房店市,2015-01-07 23:00,52,良,PM10
407,鞍山市,2015-01-07 23:00,65,良,PM2.5
408,抚顺市,2015-01-07 23:00,114,轻度污染,PM2.5
409,本溪市,2015-01-07 23:00,98,良,PM2.5
410,丹东市,2015-01-07 23:00,63,良,PM10
411,锦州市,2015-01-07 23:00,104,轻度污染,PM2.5
412,营口市,2015-01-07 23:00,149,轻度污染,PM2.5
413,阜新市,2015-01-07 23:00,84,良,PM10
414,辽阳市,2015-01-07 23:00,113,轻度污染,PM2.5
415,盘锦市,2015-01-07 23:00,90,良,PM2.5
416,铁岭市,2015-01-07 23:00,107,轻度污染,PM2.5
417,朝阳市,2015-01-07 23:00,144,轻度污染,PM2.5
418,葫芦岛市,2015-01-07 23:00,110,轻度污染,PM10
419,长春市,2015-01-07 23:00,190,中度污染,PM2.5
420,吉林市,2015-01-07 23:00,129,轻度污染,PM2.5
421,四平市,2015-01-07 23:00,140,轻度污染,PM2.5
422,辽源市,2015-01-07 23:00,165,中度污染,PM2.5
423,通化市,2015-01-07 23:00,78,良,PM10
424,白山市,2015-01-07 23:00,72,良,PM2.5
425,松原市,2015-01-07 23:00,68,良,PM2.5
426,白城市,2015-01-07 23:00,102,轻度污染,PM2.5
427,延边州,2015-01-07 23:00,43,优,None
428,哈尔滨市,2015-01-07 23:00,118,轻度污染,PM2.5
429,齐齐哈尔市,2015-01-07 23:00,87,良,PM2.5
430,鸡西市,2015-01-07 23:00,20,优,None
431,鹤岗市,2015-01-07 23:00,43,优,None
432,双鸭山市,2015-01-07 23:00,39,优,None
433,大庆市,2015-01-07 23:00,59,良,PM2.5
434,伊春市,2015-01-07 23:00,42,优,None
435,佳木斯市,2015-01-07 23:00,24,优,None
436,七台河市,2015-01-07 23:00,88,良,PM2.5
437,牡丹江市,2015-01-07 23:00,48,优,None
438,黑河市,2015-01-07 23:00,24,优,None
439,绥化市,2015-01-07 23:00,52,良,PM10
440,大兴安岭地区,2015-01-07 23:00,39,优,None
441,上海市,2015-01-07 23:00,58,良,PM2.5
442,南京市,2015-01-07 23:00,108,轻度污染,PM2.5
443,无锡市,2015-01-07 23:00,155,中度污染,PM2.5
444,江阴市,2015-01-07 23:00,163,中度污染,PM2.5
445,宜兴市,2015-01-07 23:00,108,轻度污染,PM2.5
446,徐州市,2015-01-07 23:00,132,轻度污染,PM10
447,常州市,2015-01-07 23:00,140,轻度污染,PM2.5
448,溧阳市,2015-01-07 23:00,127,轻度污染,PM2.5
449,金坛市,2015-01-07 23:00,96,良,PM10
450,苏州市,2015-01-07 23:00,185,中度污染,PM2.5
451,常熟市,2015-01-07 23:00,99,良,PM2.5
452,张家港市,2015-01-07 23:00,189,中度污染,PM2.5
453,昆山市,2015-01-07 23:00,99,良,PM2.5
454,吴江市,2015-01-07 23:00,143,轻度污染,PM2.5
455,太仓市,2015-01-07 23:00,79,良,PM2.5
456,南通市,2015-01-07 23:00,77,良,PM2.5
457,海门市,2015-01-07 23:00,92,良,PM2.5
458,连云港市,2015-01-07 23:00,139,轻度污染,PM2.5
459,淮安市,2015-01-07 23:00,144,轻度污染,PM2.5
460,盐城市,2015-01-07 23:00,57,良,PM10
461,扬州市,2015-01-07 23:00,124,轻度污染,PM10,PM2.5
462,镇江市,2015-01-07 23:00,109,轻度污染,PM2.5
463,句容市,2015-01-07 23:00,88,良,PM2.5
464,泰州市,2015-01-07 23:00,162,中度污染,PM2.5
465,宿迁市,2015-01-07 23:00,114,轻度污染,PM2.5
466,杭州市,2015-01-07 23:00,92,良,PM2.5
467,富阳市,2015-01-07 23:00,90,良,PM10
468,临安市,2015-01-07 23:00,74,良,PM10
469,宁波市,2015-01-07 23:00,104,轻度污染,PM2.5
470,温州市,2015-01-07 23:00,59,良,PM2.5
471,嘉兴市,2015-01-07 23:00,123,轻度污染,PM2.5
472,湖州市,2015-01-07 23:00,97,良,PM2.5
473,诸暨市,2015-01-07 23:00,95,良,PM2.5
474,金华市,2015-01-07 23:00,89,良,PM2.5
475,义乌市,2015-01-07 23:00,100,良,PM2.5
476,衢州市,2015-01-07 23:00,53,良,PM2.5
477,舟山市,2015-01-07 23:00,68,良,PM2.5
478,台州市,2015-01-07 23:00,80,良,PM2.5
479,丽水市,2015-01-07 23:00,73,良,PM2.5
480,绍兴市,2015-01-07 23:00,109,轻度污染,PM2.5
481,合肥市,2015-01-07 23:00,148,轻度污染,PM2.5
482,芜湖市,2015-01-07 23:00,82,良,PM2.5
483,蚌埠市,2015-01-07 23:00,127,轻度污染,PM2.5
484,淮南市,2015-01-07 23:00,64,良,PM2.5
485,马鞍山市,2015-01-07 23:00,132,轻度污染,PM2.5
486,淮北市,2015-01-07 23:00,114,轻度污染,PM2.5
487,铜陵市,2015-01-07 23:00,105,轻度污染,PM2.5
488,安庆市,2015-01-07 23:00,74,良,PM2.5
489,黄山市,2015-01-07 23:00,57,良,PM2.5
490,滁州市,2015-01-07 23:00,95,良,PM2.5
491,阜阳市,2015-01-07 23:00,145,轻度污染,PM2.5
492,宿州市,2015-01-07 23:00,103,轻度污染,PM2.5
493,六安市,2015-01-07 23:00,95,良,PM10
494,亳州市,2015-01-07 23:00,99,良,PM2.5
495,池州市,2015-01-07 23:00,61,良,PM10
496,宣城市,2015-01-07 23:00,82,良,PM2.5
497,福州市,2015-01-07 23:00,48,优,None
498,厦门市,2015-01-07 23:00,50,优,None
499,莆田市,2015-01-07 23:00,52,良,PM2.5
500,三明市,2015-01-07 23:00,42,优,None
501,泉州市,2015-01-07 23:00,42,优,None
502,漳州市,2015-01-07 23:00,62,良,PM10,PM2.5
503,南平市,2015-01-07 23:00,42,优,None
504,龙岩市,2015-01-07 23:00,35,优,None
505,宁德市,2015-01-07 23:00,54,良,PM2.5
506,南昌市,2015-01-07 23:00,88,良,PM2.5
507,景德镇市,2015-01-07 23:00,109,轻度污染,PM2.5
