序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-04-08 00:00,210,重度污染,PM2.5
2,天津市,2014-04-08 00:00,170,中度污染,PM2.5
3,石家庄市,2014-04-08 00:00,235,重度污染,PM2.5
4,唐山市,2014-04-08 00:00,162,中度污染,PM2.5
5,秦皇岛市,2014-04-08 00:00,200,中度污染,PM2.5
6,邯郸市,2014-04-08 00:00,137,轻度污染,PM2.5
7,邢台市,2014-04-08 00:00,178,中度污染,PM2.5
8,保定市,2014-04-08 00:00,230,重度污染,PM10
9,承德市,2014-04-08 00:00,114,轻度污染,PM10
10,沧州市,2014-04-08 00:00,138,轻度污染,PM2.5
11,廊坊市,2014-04-08 00:00,210,重度污染,PM2.5
12,衡水市,2014-04-08 00:00,160,中度污染,PM10
13,张家口市,2014-04-08 00:00,67,良,PM10
14,太原市,2014-04-08 00:00,153,中度污染,PM10
15,大同市,2014-04-08 00:00,104,轻度污染,PM10
16,阳泉市,2014-04-08 00:00,119,轻度污染,PM10
17,长治市,2014-04-08 00:00,99,良,PM2.5
18,临汾市,2014-04-08 00:00,140,轻度污染,PM2.5
19,呼和浩特市,2014-04-08 00:00,175,中度污染,PM10
20,包头市,2014-04-08 00:00,173,中度污染,PM10
21,赤峰市,2014-04-08 00:00,117,轻度污染,PM10
22,鄂尔多斯市,2014-04-08 00:00,70,良,PM10
23,沈阳市,2014-04-08 00:00,106,轻度污染,PM10
24,大连市,2014-04-08 00:00,112,轻度污染,PM2.5
25,鞍山市,2014-04-08 00:00,266,重度污染,PM10
26,抚顺市,2014-04-08 00:00,106,轻度污染,PM10
27,本溪市,2014-04-08 00:00,127,轻度污染,PM2.5
28,丹东市,2014-04-08 00:00,165,中度污染,PM2.5
29,锦州市,2014-04-08 00:00,207,重度污染,PM2.5
30,营口市,2014-04-08 00:00,155,中度污染,PM2.5
31,盘锦市,2014-04-08 00:00,163,中度污染,PM2.5
32,葫芦岛市,2014-04-08 00:00,238,重度污染,PM2.5
33,长春市,2014-04-08 00:00,370,严重污染,PM10
34,吉林市,2014-04-08 00:00,143,轻度污染,PM2.5
35,哈尔滨市,2014-04-08 00:00,142,轻度污染,PM2.5
36,齐齐哈尔市,2014-04-08 00:00,69,良,PM10
37,大庆市,2014-04-08 00:00,69,良,PM2.5
38,牡丹江市,2014-04-08 00:00,87,良,PM2.5
39,上海市,2014-04-08 00:00,69,良,PM2.5
40,南京市,2014-04-08 00:00,100,良,PM2.5
41,无锡市,2014-04-08 00:00,125,轻度污染,PM2.5
42,徐州市,2014-04-08 00:00,99,良,PM10
43,常州市,2014-04-08 00:00,138,轻度污染,PM2.5
44,苏州市,2014-04-08 00:00,99,良,PM2.5
45,南通市,2014-04-08 00:00,108,轻度污染,PM2.5
46,连云港市,2014-04-08 00:00,125,轻度污染,PM10
47,淮安市,2014-04-08 00:00,135,轻度污染,PM10
48,盐城市,2014-04-08 00:00,143,轻度污染,PM2.5
49,扬州市,2014-04-08 00:00,124,轻度污染,PM2.5
50,镇江市,2014-04-08 00:00,127,轻度污染,PM2.5
51,泰州市,2014-04-08 00:00,150,轻度污染,PM2.5
52,宿迁市,2014-04-08 00:00,134,轻度污染,PM2.5
53,杭州市,2014-04-08 00:00,75,良,PM10
54,宁波市,2014-04-08 00:00,55,良,PM10,PM2.5
55,温州市,2014-04-08 00:00,107,轻度污染,PM2.5
56,嘉兴市,2014-04-08 00:00,88,良,PM2.5
57,湖州市,2014-04-08 00:00,118,轻度污染,PM2.5
58,金华市,2014-04-08 00:00,156,中度污染,PM2.5
59,衢州市,2014-04-08 00:00,137,轻度污染,PM2.5
60,舟山市,2014-04-08 00:00,34,优,None
61,台州市,2014-04-08 00:00,77,良,PM2.5
62,丽水市,2014-04-08 00:00,53,良,PM2.5
63,绍兴市,2014-04-08 00:00,65,良,PM2.5
64,合肥市,2014-04-08 00:00,122,轻度污染,PM2.5
65,芜湖市,2014-04-08 00:00,100,良,PM2.5
66,马鞍山市,2014-04-08 00:00,105,轻度污染,PM2.5
67,福州市,2014-04-08 00:00,68,良,PM2.5
68,厦门市,2014-04-08 00:00,65,良,PM2.5
69,泉州市,2014-04-08 00:00,60,良,PM2.5
70,南昌市,2014-04-08 00:00,69,良,PM10
71,九江市,2014-04-08 00:00,50,优,None
