序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-04-14 00:00,272,重度污染,PM2.5
2,天津市,2014-04-14 00:00,211,重度污染,PM2.5
3,石家庄市,2014-04-14 00:00,128,轻度污染,PM2.5
4,唐山市,2014-04-14 00:00,199,中度污染,PM2.5
5,秦皇岛市,2014-04-14 00:00,80,良,PM2.5
6,邯郸市,2014-04-14 00:00,129,轻度污染,PM2.5
7,邢台市,2014-04-14 00:00,219,重度污染,PM2.5
8,保定市,2014-04-14 00:00,219,重度污染,PM2.5
9,承德市,2014-04-14 00:00,192,中度污染,PM2.5
10,沧州市,2014-04-14 00:00,215,重度污染,PM2.5
11,廊坊市,2014-04-14 00:00,265,重度污染,PM2.5
12,衡水市,2014-04-14 00:00,147,轻度污染,PM2.5
13,张家口市,2014-04-14 00:00,92,良,PM10
14,太原市,2014-04-14 00:00,173,中度污染,PM2.5
15,大同市,2014-04-14 00:00,99,良,PM10
16,阳泉市,2014-04-14 00:00,151,中度污染,PM10
17,长治市,2014-04-14 00:00,182,中度污染,PM2.5
18,临汾市,2014-04-14 00:00,244,重度污染,PM2.5
19,呼和浩特市,2014-04-14 00:00,195,中度污染,PM10
20,包头市,2014-04-14 00:00,94,良,PM10
21,赤峰市,2014-04-14 00:00,121,轻度污染,PM10
22,鄂尔多斯市,2014-04-14 00:00,51,良,PM10
23,沈阳市,2014-04-14 00:00,147,轻度污染,PM2.5
24,大连市,2014-04-14 00:00,79,良,PM10
25,鞍山市,2014-04-14 00:00,193,中度污染,PM2.5
26,抚顺市,2014-04-14 00:00,125,轻度污染,PM2.5
27,本溪市,2014-04-14 00:00,152,中度污染,PM2.5
28,丹东市,2014-04-14 00:00,92,良,PM2.5
29,锦州市,2014-04-14 00:00,133,轻度污染,PM2.5
30,营口市,2014-04-14 00:00,55,良,PM10
31,盘锦市,2014-04-14 00:00,52,良,PM2.5
32,葫芦岛市,2014-04-14 00:00,92,良,PM2.5
33,长春市,2014-04-14 00:00,163,中度污染,PM10
34,吉林市,2014-04-14 00:00,152,中度污染,PM2.5
35,哈尔滨市,2014-04-14 00:00,112,轻度污染,PM2.5
36,齐齐哈尔市,2014-04-14 00:00,51,良,PM10
37,大庆市,2014-04-14 00:00,78,良,PM2.5
38,牡丹江市,2014-04-14 00:00,89,良,PM10
39,上海市,2014-04-14 00:00,84,良,PM2.5
40,南京市,2014-04-14 00:00,90,良,PM10
41,无锡市,2014-04-14 00:00,95,良,PM2.5
42,徐州市,2014-04-14 00:00,65,良,PM10,PM2.5
43,常州市,2014-04-14 00:00,100,良,PM2.5
44,苏州市,2014-04-14 00:00,79,良,PM2.5
45,南通市,2014-04-14 00:00,95,良,PM2.5
46,连云港市,2014-04-14 00:00,98,良,PM10
47,淮安市,2014-04-14 00:00,84,良,PM2.5
48,盐城市,2014-04-14 00:00,62,良,PM2.5
49,扬州市,2014-04-14 00:00,84,良,PM2.5
50,镇江市,2014-04-14 00:00,82,良,PM2.5
51,泰州市,2014-04-14 00:00,70,良,PM2.5
52,宿迁市,2014-04-14 00:00,82,良,PM2.5
53,杭州市,2014-04-14 00:00,114,轻度污染,PM2.5
54,宁波市,2014-04-14 00:00,46,优,None
55,温州市,2014-04-14 00:00,58,良,PM10
56,嘉兴市,2014-04-14 00:00,80,良,PM2.5
57,湖州市,2014-04-14 00:00,77,良,PM2.5
58,金华市,2014-04-14 00:00,85,良,PM2.5
59,衢州市,2014-04-14 00:00,92,良,PM2.5
