序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-10-29 00:00,109,轻度污染,PM2.5
2,天津市,2014-10-29 00:00,64,良,PM10
3,石家庄市,2014-10-29 00:00,211,重度污染,PM2.5
4,唐山市,2014-10-29 00:00,69,良,PM10
5,秦皇岛市,2014-10-29 00:00,97,良,PM10
6,邯郸市,2014-10-29 00:00,182,中度污染,PM2.5
7,邢台市,2014-10-29 00:00,149,轻度污染,PM2.5
8,保定市,2014-10-29 00:00,170,中度污染,PM2.5
9,承德市,2014-10-29 00:00,132,轻度污染,PM10
10,沧州市,2014-10-29 00:00,95,良,PM10
11,廊坊市,2014-10-29 00:00,124,轻度污染,PM2.5
12,衡水市,2014-10-29 00:00,320,严重污染,PM10
13,张家口市,2014-10-29 00:00,65,良,PM2.5
14,太原市,2014-10-29 00:00,166,中度污染,PM2.5
15,大同市,2014-10-29 00:00,80,良,PM2.5
16,阳泉市,2014-10-29 00:00,127,轻度污染,PM10
17,长治市,2014-10-29 00:00,128,轻度污染,PM2.5
18,临汾市,2014-10-29 00:00,57,良,PM2.5
19,呼和浩特市,2014-10-29 00:00,108,轻度污染,PM2.5
20,包头市,2014-10-29 00:00,156,中度污染,PM2.5
21,赤峰市,2014-10-29 00:00,205,重度污染,PM2.5
22,鄂尔多斯市,2014-10-29 00:00,59,良,PM2.5
23,沈阳市,2014-10-29 00:00,327,严重污染,PM2.5
24,大连市,2014-10-29 00:00,65,良,PM10,PM2.5
25,鞍山市,2014-10-29 00:00,235,重度污染,PM2.5
26,抚顺市,2014-10-29 00:00,147,轻度污染,PM2.5
27,本溪市,2014-10-29 00:00,169,中度污染,PM2.5
28,丹东市,2014-10-29 00:00,94,良,PM10
29,锦州市,2014-10-29 00:00,189,中度污染,PM2.5
30,营口市,2014-10-29 00:00,142,轻度污染,PM2.5
31,盘锦市,2014-10-29 00:00,95,良,PM2.5
32,葫芦岛市,2014-10-29 00:00,118,轻度污染,PM10
33,长春市,2014-10-29 00:00,406,严重污染,PM2.5
34,吉林市,2014-10-29 00:00,255,重度污染,PM2.5
35,哈尔滨市,2014-10-29 00:00,500,严重污染,PM10,PM2.5
36,齐齐哈尔市,2014-10-29 00:00,195,中度污染,PM2.5
37,大庆市,2014-10-29 00:00,280,重度污染,PM2.5
38,牡丹江市,2014-10-29 00:00,93,良,PM2.5
39,上海市,2014-10-29 00:00,40,优,None
40,南京市,2014-10-29 00:00,84,良,PM10
41,无锡市,2014-10-29 00:00,57,良,PM10
42,徐州市,2014-10-29 00:00,72,良,PM10
43,常州市,2014-10-29 00:00,64,良,PM10
44,苏州市,2014-10-29 00:00,53,良,PM10
45,南通市,2014-10-29 00:00,60,良,PM10
46,连云港市,2014-10-29 00:00,52,良,PM10
47,淮安市,2014-10-29 00:00,43,优,None
48,盐城市,2014-10-29 00:00,40,优,None
49,扬州市,2014-10-29 00:00,48,优,None
50,镇江市,2014-10-29 00:00,82,良,PM10
51,泰州市,2014-10-29 00:00,59,良,PM10
52,宿迁市,2014-10-29 00:00,49,优,None
53,杭州市,2014-10-29 00:00,55,良,PM10
54,宁波市,2014-10-29 00:00,52,良,PM10
55,温州市,2014-10-29 00:00,56,良,PM10
56,嘉兴市,2014-10-29 00:00,51,良,PM10
57,湖州市,2014-10-29 00:00,47,优,None
58,金华市,2014-10-29 00:00,82,良,PM2.5
59,衢州市,2014-10-29 00:00,70,良,PM10
60,舟山市,2014-10-29 00:00,45,优,None
61,台州市,2014-10-29 00:00,68,良,PM10
62,丽水市,2014-10-29 00:00,62,良,PM10
63,绍兴市,2014-10-29 00:00,51,良,PM10
64,合肥市,2014-10-29 00:00,100,良,PM2.5
65,芜湖市,2014-10-29 00:00,97,良,PM2.5
66,马鞍山市,2014-10-29 00:00,105,轻度污染,PM2.5
67,福州市,2014-10-29 00:00,38,优,None
68,厦门市,2014-10-29 00:00,69,良,PM10
69,泉州市,2014-10-29 00:00,37,优,None
70,南昌市,2014-10-29 00:00,113,轻度污染,PM2.5
71,九江市,2014-10-29 00:00,70,良,PM10
72,济南市,2014-10-29 00:00,185,中度污染,PM2.5
73,青岛市,2014-10-29 00:00,59,良,PM10
74,淄博市,2014-10-29 00:00,156,中度污染,PM2.5
75,枣庄市,2014-10-29 00:00,67,良,PM10
76,东营市,2014-10-29 00:00,66,良,PM10
77,烟台市,2014-10-29 00:00,72,良,PM2.5
78,潍坊市,2014-10-29 00:00,108,轻度污染,PM2.5
79,济宁市,2014-10-29 00:00,138,轻度污染,PM10
80,泰安市,2014-10-29 00:00,125,轻度污染,PM2.5
81,威海市,2014-10-29 00:00,66,良,PM10
82,日照市,2014-10-29 00:00,68,良,PM10
83,莱芜市,2014-10-29 00:00,123,轻度污染,PM2.5
84,临沂市,2014-10-29 00:00,75,良,PM10
85,德州市,2014-10-29 00:00,212,重度污染,PM2.5
86,聊城市,2014-10-29 00:00,162,中度污染,PM2.5
87,滨州市,2014-10-29 00:00,120,轻度污染,PM2.5
88,菏泽市,2014-10-29 00:00,139,轻度污染,PM2.5
89,郑州市,2014-10-29 00:00,97,良,PM2.5
90,开封市,2014-10-29 00:00,84,良,PM2.5
91,洛阳市,2014-10-29 00:00,142,轻度污染,PM2.5
92,平顶山市,2014-10-29 00:00,90,良,PM2.5
93,安阳市,2014-10-29 00:00,101,轻度污染,PM10
94,焦作市,2014-10-29 00:00,74,良,PM10
95,三门峡市,2014-10-29 00:00,69,良,PM10
96,武汉市,2014-10-29 00:00,53,良,PM2.5
97,宜昌市,2014-10-29 00:00,53,良,PM2.5
98,荆州市,2014-10-29 00:00,59,良,PM2.5
99,长沙市,2014-10-29 00:00,114,轻度污染,PM2.5
100,株洲市,2014-10-29 00:00,189,中度污染,PM2.5
101,湘潭市,2014-10-29 00:00,112,轻度污染,PM2.5
102,岳阳市,2014-10-29 00:00,60,良,PM10
103,常德市,2014-10-29 00:00,33,优,None
104,张家界市,2014-10-29 00:00,22,优,None
105,广州市,2014-10-29 00:00,75,良,PM2.5
106,韶关市,2014-10-29 00:00,102,轻度污染,PM2.5
107,深圳市,2014-10-29 00:00,53,良,PM10
108,珠海市,2014-10-29 00:00,43,优,None
109,汕头市,2014-10-29 00:00,55,良,PM10
110,佛山市,2014-10-29 00:00,65,良,PM2.5
111,江门市,2014-10-29 00:00,69,良,PM2.5
112,湛江市,2014-10-29 00:00,54,良,PM10
113,茂名市,2014-10-29 00:00,57,良,PM10
114,肇庆市,2014-10-29 00:00,90,良,PM2.5
115,惠州市,2014-10-29 00:00,63,良,PM10
116,梅州市,2014-10-29 00:00,112,轻度污染,PM2.5
117,汕尾市,2014-10-29 00:00,52,良,PM10
118,河源市,2014-10-29 00:00,91,良,PM10
119,阳江市,2014-10-29 00:00,59,良,PM10
120,清远市,2014-10-29 00:00,103,轻度污染,PM2.5
121,东莞市,2014-10-29 00:00,73,良,PM2.5
122,中山市,2014-10-29 00:00,59,良,PM2.5
123,潮州市,2014-10-29 00:00,57,良,PM10
124,揭阳市,2014-10-29 00:00,63,良,PM10
125,云浮市,2014-10-29 00:00,55,良,PM10
126,南宁市,2014-10-29 00:00,68,良,PM10
127,柳州市,2014-10-29 00:00,102,轻度污染,PM2.5
128,桂林市,2014-10-29 00:00,67,良,PM2.5
129,北海市,2014-10-29 00:00,50,优,None
130,海口市,2014-10-29 00:00,45,优,None
131,三亚市,2014-10-29 00:00,10,优,None
132,重庆市,2014-10-29 00:00,59,良,PM2.5
133,成都市,2014-10-29 00:00,47,优,None
134,自贡市,2014-10-29 00:00,31,优,None
135,攀枝花市,2014-10-29 00:00,65,良,PM10
136,泸州市,2014-10-29 00:00,87,良,PM2.5
137,德阳市,2014-10-29 00:00,30,优,None
138,绵阳市,2014-10-29 00:00,17,优,None
139,南充市,2014-10-29 00:00,39,优,None
140,宜宾市,2014-10-29 00:00,95,良,PM2.5
141,贵阳市,2014-10-29 00:00,46,优,None
142,遵义市,2014-10-29 00:00,82,良,PM2.5
143,昆明市,2014-10-29 00:00,28,优,None
144,曲靖市,2014-10-29 00:00,13,优,None
145,玉溪市,2014-10-29 00:00,32,优,None
146,拉萨市,2014-10-29 00:00,57,良,PM10
147,西安市,2014-10-29 00:00,117,轻度污染,PM2.5
148,铜川市,2014-10-29 00:00,70,良,PM2.5
149,宝鸡市,2014-10-29 00:00,108,轻度污染,PM2.5
150,咸阳市,2014-10-29 00:00,74,良,PM2.5
151,渭南市,2014-10-29 00:00,84,良,PM2.5
152,延安市,2014-10-29 00:00,60,良,PM2.5
