序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2015-01-07 00:00,156,中度污染,PM2.5
2,天津市,2015-01-07 00:00,102,轻度污染,PM2.5
3,石家庄市,2015-01-07 00:00,104,轻度污染,PM2.5
4,唐山市,2015-01-07 00:00,134,轻度污染,PM2.5
5,秦皇岛市,2015-01-07 00:00,97,良,PM10
6,邯郸市,2015-01-07 00:00,69,良,PM2.5
7,邢台市,2015-01-07 00:00,102,轻度污染,PM2.5
8,保定市,2015-01-07 00:00,205,重度污染,PM2.5
9,承德市,2015-01-07 00:00,63,良,PM10
10,沧州市,2015-01-07 00:00,75,良,PM2.5
11,廊坊市,2015-01-07 00:00,124,轻度污染,PM2.5
12,衡水市,2015-01-07 00:00,97,良,PM2.5
13,张家口市,2015-01-07 00:00,54,良,PM10
14,太原市,2015-01-07 00:00,119,轻度污染,PM2.5
15,大同市,2015-01-07 00:00,132,轻度污染,PM2.5
16,阳泉市,2015-01-07 00:00,116,轻度污染,PM10
17,长治市,2015-01-07 00:00,84,良,PM2.5
18,晋城市,2015-01-07 00:00,87,良,PM2.5
19,朔州市,2015-01-07 00:00,129,轻度污染,PM10
20,晋中市,2015-01-07 00:00,119,轻度污染,PM2.5
21,运城市,2015-01-07 00:00,60,良,PM10
22,忻州市,2015-01-07 00:00,211,重度污染,PM2.5
23,临汾市,2015-01-07 00:00,128,轻度污染,PM2.5
24,吕梁市,2015-01-07 00:00,190,中度污染,PM2.5
25,呼和浩特市,2015-01-07 00:00,100,良,PM2.5
26,包头市,2015-01-07 00:00,156,中度污染,PM2.5
27,乌海市,2015-01-07 00:00,107,轻度污染,PM10
28,赤峰市,2015-01-07 00:00,33,优,None
29,通辽市,2015-01-07 00:00,51,良,PM10
30,鄂尔多斯市,2015-01-07 00:00,64,良,PM10
31,呼伦贝尔市,2015-01-07 00:00,62,良,PM10,PM2.5
32,巴彦淖尔市,2015-01-07 00:00,87,良,PM2.5
33,乌兰察布市,2015-01-07 00:00,69,良,PM2.5
