序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-05-30 00:00,90,良,PM10
2,天津市,2014-05-30 00:00,149,轻度污染,PM10
3,石家庄市,2014-05-30 00:00,134,轻度污染,PM10
4,唐山市,2014-05-30 00:00,202,重度污染,PM2.5
5,秦皇岛市,2014-05-30 00:00,85,良,PM10
6,邯郸市,2014-05-30 00:00,100,良,PM10
7,邢台市,2014-05-30 00:00,190,中度污染,PM10
8,保定市,2014-05-30 00:00,168,中度污染,PM10
9,承德市,2014-05-30 00:00,83,良,PM10
10,沧州市,2014-05-30 00:00,93,良,PM10
11,廊坊市,2014-05-30 00:00,112,轻度污染,PM10
12,衡水市,2014-05-30 00:00,151,中度污染,PM10
13,张家口市,2014-05-30 00:00,47,优,None
14,太原市,2014-05-30 00:00,118,轻度污染,PM10
15,大同市,2014-05-30 00:00,104,轻度污染,PM10
16,阳泉市,2014-05-30 00:00,161,中度污染,PM10
17,长治市,2014-05-30 00:00,112,轻度污染,PM10
18,临汾市,2014-05-30 00:00,152,中度污染,PM2.5
19,呼和浩特市,2014-05-30 00:00,175,中度污染,PM10
20,包头市,2014-05-30 00:00,172,中度污染,PM10
21,赤峰市,2014-05-30 00:00,99,良,PM10
22,鄂尔多斯市,2014-05-30 00:00,58,良,PM10
23,沈阳市,2014-05-30 00:00,None,None,None
24,大连市,2014-05-30 00:00,None,None,None
25,鞍山市,2014-05-30 00:00,None,None,None
26,抚顺市,2014-05-30 00:00,None,None,None
27,本溪市,2014-05-30 00:00,105,轻度污染,PM2.5
28,丹东市,2014-05-30 00:00,70,良,PM10
29,锦州市,2014-05-30 00:00,147,轻度污染,PM2.5
30,营口市,2014-05-30 00:00,125,轻度污染,PM10
31,盘锦市,2014-05-30 00:00,199,中度污染,PM2.5
32,葫芦岛市,2014-05-30 00:00,167,中度污染,PM10
33,长春市,2014-05-30 00:00,83,良,PM10
34,吉林市,2014-05-30 00:00,64,良,PM10
35,哈尔滨市,2014-05-30 00:00,44,优,None
36,齐齐哈尔市,2014-05-30 00:00,None,None,None
37,大庆市,2014-05-30 00:00,None,None,None
38,牡丹江市,2014-05-30 00:00,None,None,None
39,上海市,2014-05-30 00:00,179,中度污染,PM2.5
40,南京市,2014-05-30 00:00,358,严重污染,PM2.5
41,无锡市,2014-05-30 00:00,131,轻度污染,PM10
42,徐州市,2014-05-30 00:00,148,轻度污染,PM10
43,常州市,2014-05-30 00:00,418,严重污染,PM10
44,苏州市,2014-05-30 00:00,193,中度污染,PM10
45,南通市,2014-05-30 00:00,389,严重污染,PM2.5
46,连云港市,2014-05-30 00:00,132,轻度污染,PM2.5
47,淮安市,2014-05-30 00:00,149,轻度污染,PM10
48,盐城市,2014-05-30 00:00,198,中度污染,PM2.5
49,扬州市,2014-05-30 00:00,257,重度污染,PM2.5
50,镇江市,2014-05-30 00:00,380,严重污染,PM10
51,泰州市,2014-05-30 00:00,298,重度污染,PM10
52,宿迁市,2014-05-30 00:00,155,中度污染,PM10
53,杭州市,2014-05-30 00:00,115,轻度污染,PM2.5
54,宁波市,2014-05-30 00:00,103,轻度污染,PM2.5
55,温州市,2014-05-30 00:00,105,轻度污染,PM2.5
56,嘉兴市,2014-05-30 00:00,188,中度污染,PM2.5
57,湖州市,2014-05-30 00:00,96,良,PM10
58,金华市,2014-05-30 00:00,83,良,PM10
59,衢州市,2014-05-30 00:00,110,轻度污染,PM2.5
60,舟山市,2014-05-30 00:00,134,轻度污染,PM2.5
61,台州市,2014-05-30 00:00,147,轻度污染,PM2.5
62,丽水市,2014-05-30 00:00,80,良,PM2.5
63,绍兴市,2014-05-30 00:00,105,轻度污染,PM10
64,合肥市,2014-05-30 00:00,None,None,None
65,芜湖市,2014-05-30 00:00,None,None,None
66,马鞍山市,2014-05-30 00:00,None,None,None
