序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-04-05 00:00,85,良,PM10
2,天津市,2014-04-05 00:00,106,轻度污染,PM10
3,石家庄市,2014-04-05 00:00,500,严重污染,PM10
4,唐山市,2014-04-05 00:00,100,良,PM10
5,秦皇岛市,2014-04-05 00:00,190,中度污染,PM10
6,邯郸市,2014-04-05 00:00,155,中度污染,PM2.5
7,邢台市,2014-04-05 00:00,406,严重污染,PM10
8,保定市,2014-04-05 00:00,145,轻度污染,PM10
9,承德市,2014-04-05 00:00,44,优,None
10,沧州市,2014-04-05 00:00,69,良,PM10
11,廊坊市,2014-04-05 00:00,73,良,PM10
12,衡水市,2014-04-05 00:00,203,重度污染,PM10
13,张家口市,2014-04-05 00:00,44,优,None
14,太原市,2014-04-05 00:00,82,良,PM10
15,大同市,2014-04-05 00:00,59,良,PM10
16,阳泉市,2014-04-05 00:00,167,中度污染,PM10
17,长治市,2014-04-05 00:00,73,良,PM10
18,临汾市,2014-04-05 00:00,88,良,PM2.5
19,呼和浩特市,2014-04-05 00:00,52,良,PM10
20,包头市,2014-04-05 00:00,73,良,PM10
21,赤峰市,2014-04-05 00:00,76,良,PM10
22,鄂尔多斯市,2014-04-05 00:00,51,良,PM10
23,沈阳市,2014-04-05 00:00,72,良,PM2.5
24,大连市,2014-04-05 00:00,77,良,PM10
25,鞍山市,2014-04-05 00:00,108,轻度污染,PM10
26,抚顺市,2014-04-05 00:00,50,优,None
27,本溪市,2014-04-05 00:00,56,良,PM10
28,丹东市,2014-04-05 00:00,49,优,None
29,锦州市,2014-04-05 00:00,93,良,PM10
30,营口市,2014-04-05 00:00,106,轻度污染,PM10
31,盘锦市,2014-04-05 00:00,85,良,PM10
32,葫芦岛市,2014-04-05 00:00,99,良,PM10
33,长春市,2014-04-05 00:00,50,优,None
34,吉林市,2014-04-05 00:00,67,良,PM2.5
35,哈尔滨市,2014-04-05 00:00,47,优,None
36,齐齐哈尔市,2014-04-05 00:00,27,优,None
37,大庆市,2014-04-05 00:00,27,优,None
38,牡丹江市,2014-04-05 00:00,48,优,None
39,上海市,2014-04-05 00:00,98,良,PM2.5
40,南京市,2014-04-05 00:00,125,轻度污染,PM10
41,无锡市,2014-04-05 00:00,79,良,PM10
42,徐州市,2014-04-05 00:00,89,良,PM10
43,常州市,2014-04-05 00:00,93,良,PM2.5
