序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-03-17 00:00,175,中度污染,PM2.5
2,天津市,2014-03-17 00:00,168,中度污染,PM2.5
3,石家庄市,2014-03-17 00:00,296,重度污染,PM10
4,唐山市,2014-03-17 00:00,128,轻度污染,PM2.5
5,秦皇岛市,2014-03-17 00:00,130,轻度污染,PM10
6,邯郸市,2014-03-17 00:00,119,轻度污染,PM10
7,邢台市,2014-03-17 00:00,453,严重污染,PM10
8,保定市,2014-03-17 00:00,225,重度污染,PM2.5
9,承德市,2014-03-17 00:00,133,轻度污染,PM2.5
10,沧州市,2014-03-17 00:00,142,轻度污染,PM2.5
11,廊坊市,2014-03-17 00:00,163,中度污染,PM2.5
12,衡水市,2014-03-17 00:00,289,重度污染,PM2.5
13,张家口市,2014-03-17 00:00,94,良,PM2.5
14,太原市,2014-03-17 00:00,125,轻度污染,PM10
15,大同市,2014-03-17 00:00,98,良,PM10
16,阳泉市,2014-03-17 00:00,292,重度污染,PM10
17,长治市,2014-03-17 00:00,83,良,PM10
18,临汾市,2014-03-17 00:00,93,良,PM2.5
19,呼和浩特市,2014-03-17 00:00,500,严重污染,PM10
20,包头市,2014-03-17 00:00,500,严重污染,PM10
21,赤峰市,2014-03-17 00:00,111,轻度污染,PM10
22,鄂尔多斯市,2014-03-17 00:00,199,中度污染,PM10
23,沈阳市,2014-03-17 00:00,83,良,PM10
24,大连市,2014-03-17 00:00,119,轻度污染,PM2.5
25,鞍山市,2014-03-17 00:00,64,良,PM10
26,抚顺市,2014-03-17 00:00,84,良,PM10
27,本溪市,2014-03-17 00:00,56,良,PM10
28,丹东市,2014-03-17 00:00,112,轻度污染,PM2.5
29,锦州市,2014-03-17 00:00,98,良,PM10
30,营口市,2014-03-17 00:00,54,良,PM10
31,盘锦市,2014-03-17 00:00,115,轻度污染,PM2.5
32,葫芦岛市,2014-03-17 00:00,69,良,PM2.5
33,长春市,2014-03-17 00:00,97,良,PM2.5
34,吉林市,2014-03-17 00:00,117,轻度污染,PM2.5
35,哈尔滨市,2014-03-17 00:00,55,良,PM2.5
36,齐齐哈尔市,2014-03-17 00:00,57,良,PM10
37,大庆市,2014-03-17 00:00,68,良,PM2.5
38,牡丹江市,2014-03-17 00:00,84,良,PM2.5
39,上海市,2014-03-17 00:00,64,良,PM2.5
40,南京市,2014-03-17 00:00,143,轻度污染,PM2.5
41,无锡市,2014-03-17 00:00,82,良,PM2.5
42,徐州市,2014-03-17 00:00,89,良,PM2.5
43,常州市,2014-03-17 00:00,95,良,PM2.5
44,苏州市,2014-03-17 00:00,77,良,PM10
45,南通市,2014-03-17 00:00,98,良,PM2.5
