序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-09-01 00:00,None,None,None
2,天津市,2014-09-01 00:00,None,None,None
3,石家庄市,2014-09-01 00:00,None,None,None
4,唐山市,2014-09-01 00:00,None,None,None
5,秦皇岛市,2014-09-01 00:00,None,None,None
6,邯郸市,2014-09-01 00:00,None,None,None
7,邢台市,2014-09-01 00:00,None,None,None
8,保定市,2014-09-01 00:00,None,None,None
9,承德市,2014-09-01 00:00,72,良,PM2.5
10,沧州市,2014-09-01 00:00,None,None,None
11,廊坊市,2014-09-01 00:00,None,None,None
12,衡水市,2014-09-01 00:00,None,None,None
13,张家口市,2014-09-01 00:00,None,None,None
14,太原市,2014-09-01 00:00,None,None,None
15,大同市,2014-09-01 00:00,139,轻度污染,PM2.5
16,阳泉市,2014-09-01 00:00,None,None,None
17,长治市,2014-09-01 00:00,None,None,None
18,临汾市,2014-09-01 00:00,None,None,None
19,呼和浩特市,2014-09-01 00:00,None,None,None
20,包头市,2014-09-01 00:00,None,None,None
21,赤峰市,2014-09-01 00:00,None,None,None
22,鄂尔多斯市,2014-09-01 00:00,None,None,None
23,沈阳市,2014-09-01 00:00,None,None,None
24,大连市,2014-09-01 00:00,30,优,None
25,鞍山市,2014-09-01 00:00,None,None,None
26,抚顺市,2014-09-01 00:00,None,None,None
27,本溪市,2014-09-01 00:00,None,None,None
28,丹东市,2014-09-01 00:00,None,None,None
29,锦州市,2014-09-01 00:00,None,None,None
30,营口市,2014-09-01 00:00,41,优,None
31,盘锦市,2014-09-01 00:00,None,None,None
32,葫芦岛市,2014-09-01 00:00,None,None,None
33,长春市,2014-09-01 00:00,None,None,None
34,吉林市,2014-09-01 00:00,None,None,None
35,哈尔滨市,2014-09-01 00:00,68,良,PM10
36,齐齐哈尔市,2014-09-01 00:00,None,None,None
37,大庆市,2014-09-01 00:00,None,None,None
38,牡丹江市,2014-09-01 00:00,109,轻度污染,PM10
39,上海市,2014-09-01 00:00,48,优,None
40,南京市,2014-09-01 00:00,None,None,None
41,无锡市,2014-09-01 00:00,None,None,None
42,徐州市,2014-09-01 00:00,None,None,None
43,常州市,2014-09-01 00:00,None,None,None
44,苏州市,2014-09-01 00:00,None,None,None
45,南通市,2014-09-01 00:00,None,None,None
46,连云港市,2014-09-01 00:00,None,None,None
47,淮安市,2014-09-01 00:00,None,None,None
48,盐城市,2014-09-01 00:00,None,None,None
49,扬州市,2014-09-01 00:00,None,None,None
50,镇江市,2014-09-01 00:00,50,优,None
51,泰州市,2014-09-01 00:00,None,None,None
52,宿迁市,2014-09-01 00:00,None,None,None
53,杭州市,2014-09-01 00:00,102,轻度污染,PM2.5
54,宁波市,2014-09-01 00:00,None,None,None
55,温州市,2014-09-01 00:00,None,None,None
56,嘉兴市,2014-09-01 00:00,None,None,None
57,湖州市,2014-09-01 00:00,None,None,None
58,金华市,2014-09-01 00:00,None,None,None
59,衢州市,2014-09-01 00:00,None,None,None
60,舟山市,2014-09-01 00:00,None,None,None
61,台州市,2014-09-01 00:00,None,None,None
62,丽水市,2014-09-01 00:00,None,None,None
63,绍兴市,2014-09-01 00:00,None,None,None
64,合肥市,2014-09-01 00:00,None,None,None
65,芜湖市,2014-09-01 00:00,None,None,None
66,马鞍山市,2014-09-01 00:00,None,None,None
67,福州市,2014-09-01 00:00,None,None,None
68,厦门市,2014-09-01 00:00,None,None,None
69,泉州市,2014-09-01 00:00,None,None,None
70,南昌市,2014-09-01 00:00,None,None,None
71,九江市,2014-09-01 00:00,None,None,None
72,济南市,2014-09-01 00:00,None,None,None
73,青岛市,2014-09-01 00:00,None,None,None
74,淄博市,2014-09-01 00:00,None,None,None
75,枣庄市,2014-09-01 00:00,None,None,None
76,东营市,2014-09-01 00:00,None,None,None
77,烟台市,2014-09-01 00:00,None,None,None
78,潍坊市,2014-09-01 00:00,None,None,None
79,济宁市,2014-09-01 00:00,None,None,None
80,泰安市,2014-09-01 00:00,None,None,None
81,威海市,2014-09-01 00:00,None,None,None
82,日照市,2014-09-01 00:00,None,None,None
83,莱芜市,2014-09-01 00:00,None,None,None
84,临沂市,2014-09-01 00:00,None,None,None
85,德州市,2014-09-01 00:00,None,None,None
86,聊城市,2014-09-01 00:00,None,None,None
87,滨州市,2014-09-01 00:00,None,None,None
88,菏泽市,2014-09-01 00:00,None,None,None
89,郑州市,2014-09-01 00:00,None,None,None
90,开封市,2014-09-01 00:00,None,None,None
391,泉州市,2014-08-31 22:00,106,轻度污染,PM10
392,南昌市,2014-08-31 22:00,87,良,PM10
393,九江市,2014-08-31 22:00,112,轻度污染,PM10
394,济南市,2014-08-31 22:00,182,中度污染,PM2.5
395,青岛市,2014-08-31 22:00,39,优,None
396,淄博市,2014-08-31 22:00,143,轻度污染,PM2.5
397,枣庄市,2014-08-31 22:00,74,良,PM10
398,东营市,2014-08-31 22:00,71,良,PM10
399,烟台市,2014-08-31 22:00,48,优,None
400,潍坊市,2014-08-31 22:00,67,良,PM10
401,济宁市,2014-08-31 22:00,74,良,PM10
402,泰安市,2014-08-31 22:00,110,轻度污染,PM2.5
403,威海市,2014-08-31 22:00,57,良,PM10
404,日照市,2014-08-31 22:00,30,优,None
405,莱芜市,2014-08-31 22:00,198,中度污染,PM2.5
406,临沂市,2014-08-31 22:00,67,良,PM10
407,德州市,2014-08-31 22:00,110,轻度污染,PM2.5
408,聊城市,2014-08-31 22:00,175,中度污染,PM2.5
409,滨州市,2014-08-31 22:00,143,轻度污染,PM2.5
410,菏泽市,2014-08-31 22:00,105,轻度污染,PM2.5
411,郑州市,2014-08-31 22:00,67,良,PM10
412,开封市,2014-08-31 22:00,87,良,PM10
413,洛阳市,2014-08-31 22:00,61,良,PM10
414,平顶山市,2014-08-31 22:00,60,良,PM10
415,安阳市,2014-08-31 22:00,83,良,PM2.5
416,焦作市,2014-08-31 22:00,57,良,PM10
417,三门峡市,2014-08-31 22:00,46,优,None
418,武汉市,2014-08-31 22:00,18,优,None
419,宜昌市,2014-08-31 22:00,33,优,None
420,荆州市,2014-08-31 22:00,51,良,PM10
421,长沙市,2014-08-31 22:00,59,良,PM2.5
422,株洲市,2014-08-31 22:00,75,良,PM10
423,湘潭市,2014-08-31 22:00,55,良,PM10
424,岳阳市,2014-08-31 22:00,51,良,PM10
425,常德市,2014-08-31 22:00,33,优,None
426,张家界市,2014-08-31 22:00,40,优,None
427,广州市,2014-08-31 22:00,52,良,PM10
