序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2015-01-09 00:00,273,重度污染,PM2.5
2,天津市,2015-01-09 00:00,355,严重污染,PM10
3,石家庄市,2015-01-09 00:00,304,严重污染,PM2.5
4,唐山市,2015-01-09 00:00,281,重度污染,PM2.5
5,秦皇岛市,2015-01-09 00:00,132,轻度污染,PM2.5
6,邯郸市,2015-01-09 00:00,298,重度污染,PM10
7,邢台市,2015-01-09 00:00,336,严重污染,PM2.5
8,保定市,2015-01-09 00:00,500,严重污染,PM10,PM2.5
9,承德市,2015-01-09 00:00,140,轻度污染,PM2.5
10,沧州市,2015-01-09 00:00,249,重度污染,PM2.5
11,廊坊市,2015-01-09 00:00,334,严重污染,PM2.5
12,衡水市,2015-01-09 00:00,369,严重污染,PM10
13,张家口市,2015-01-09 00:00,48,优,None
14,太原市,2015-01-09 00:00,113,轻度污染,PM2.5
15,大同市,2015-01-09 00:00,87,良,PM10
16,阳泉市,2015-01-09 00:00,57,良,PM10
17,长治市,2015-01-09 00:00,127,轻度污染,PM2.5
18,晋城市,2015-01-09 00:00,103,轻度污染,PM2.5
19,朔州市,2015-01-09 00:00,107,轻度污染,PM10
20,晋中市,2015-01-09 00:00,93,良,PM2.5
21,运城市,2015-01-09 00:00,183,中度污染,PM2.5
22,忻州市,2015-01-09 00:00,130,轻度污染,PM2.5
23,临汾市,2015-01-09 00:00,198,中度污染,PM2.5
24,吕梁市,2015-01-09 00:00,165,中度污染,PM2.5
25,呼和浩特市,2015-01-09 00:00,82,良,PM10
26,包头市,2015-01-09 00:00,86,良,PM10
27,乌海市,2015-01-09 00:00,72,良,PM10
28,赤峰市,2015-01-09 00:00,45,优,None
29,通辽市,2015-01-09 00:00,125,轻度污染,PM2.5
30,鄂尔多斯市,2015-01-09 00:00,63,良,PM10
31,呼伦贝尔市,2015-01-09 00:00,139,轻度污染,PM2.5
32,巴彦淖尔市,2015-01-09 00:00,132,轻度污染,PM2.5
33,乌兰察布市,2015-01-09 00:00,72,良,PM2.5
34,兴安盟,2015-01-09 00:00,117,轻度污染,PM2.5
35,锡林郭勒盟,2015-01-09 00:00,30,优,None
36,阿拉善盟,2015-01-09 00:00,55,良,PM10
37,沈阳市,2015-01-09 00:00,306,严重污染,PM2.5
38,大连市,2015-01-09 00:00,138,轻度污染,PM2.5
39,瓦房店市,2015-01-09 00:00,144,轻度污染,PM2.5
40,鞍山市,2015-01-09 00:00,124,轻度污染,PM2.5
41,抚顺市,2015-01-09 00:00,139,轻度污染,PM2.5
42,本溪市,2015-01-09 00:00,124,轻度污染,PM2.5
43,丹东市,2015-01-09 00:00,103,轻度污染,PM2.5
44,锦州市,2015-01-09 00:00,125,轻度污染,PM2.5
45,营口市,2015-01-09 00:00,122,轻度污染,PM2.5
46,阜新市,2015-01-09 00:00,162,中度污染,PM2.5
47,辽阳市,2015-01-09 00:00,213,重度污染,PM2.5
48,盘锦市,2015-01-09 00:00,185,中度污染,PM2.5
49,铁岭市,2015-01-09 00:00,90,良,PM2.5
50,朝阳市,2015-01-09 00:00,245,重度污染,PM2.5
51,葫芦岛市,2015-01-09 00:00,137,轻度污染,PM10
52,长春市,2015-01-09 00:00,148,轻度污染,PM2.5
53,吉林市,2015-01-09 00:00,94,良,PM2.5
54,四平市,2015-01-09 00:00,89,良,PM2.5
55,辽源市,2015-01-09 00:00,169,中度污染,PM2.5
56,通化市,2015-01-09 00:00,169,中度污染,PM2.5
57,白山市,2015-01-09 00:00,132,轻度污染,PM2.5
58,松原市,2015-01-09 00:00,82,良,PM2.5
59,白城市,2015-01-09 00:00,104,轻度污染,PM2.5
60,延边州,2015-01-09 00:00,36,优,None
61,哈尔滨市,2015-01-09 00:00,284,重度污染,PM2.5
62,齐齐哈尔市,2015-01-09 00:00,82,良,PM2.5
63,鸡西市,2015-01-09 00:00,14,优,None
64,鹤岗市,2015-01-09 00:00,48,优,None
