序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-10-26 00:00,373,严重污染,PM2.5
2,天津市,2014-10-26 00:00,246,重度污染,PM2.5
3,石家庄市,2014-10-26 00:00,358,严重污染,PM10
4,唐山市,2014-10-26 00:00,290,重度污染,PM10
5,秦皇岛市,2014-10-26 00:00,260,重度污染,PM2.5
6,邯郸市,2014-10-26 00:00,186,中度污染,PM2.5
7,邢台市,2014-10-26 00:00,296,重度污染,PM10
8,保定市,2014-10-26 00:00,343,严重污染,PM10
9,承德市,2014-10-26 00:00,226,重度污染,PM2.5
10,沧州市,2014-10-26 00:00,425,严重污染,PM10
11,廊坊市,2014-10-26 00:00,223,重度污染,PM2.5
12,衡水市,2014-10-26 00:00,149,轻度污染,PM2.5
13,张家口市,2014-10-26 00:00,21,优,None
14,太原市,2014-10-26 00:00,178,中度污染,PM2.5
15,大同市,2014-10-26 00:00,69,良,PM10
16,阳泉市,2014-10-26 00:00,133,轻度污染,PM10
17,长治市,2014-10-26 00:00,82,良,PM2.5
18,临汾市,2014-10-26 00:00,159,中度污染,PM2.5
19,呼和浩特市,2014-10-26 00:00,50,优,None
20,包头市,2014-10-26 00:00,89,良,PM10
21,赤峰市,2014-10-26 00:00,338,严重污染,PM10
22,鄂尔多斯市,2014-10-26 00:00,68,良,PM10
23,沈阳市,2014-10-26 00:00,117,轻度污染,PM2.5
24,大连市,2014-10-26 00:00,72,良,PM2.5
25,鞍山市,2014-10-26 00:00,77,良,PM2.5
26,抚顺市,2014-10-26 00:00,75,良,PM10
27,本溪市,2014-10-26 00:00,68,良,PM2.5
28,丹东市,2014-10-26 00:00,37,优,None
29,锦州市,2014-10-26 00:00,124,轻度污染,PM2.5
30,营口市,2014-10-26 00:00,46,优,None
31,盘锦市,2014-10-26 00:00,103,轻度污染,PM2.5
32,葫芦岛市,2014-10-26 00:00,190,中度污染,PM10
33,长春市,2014-10-26 00:00,336,严重污染,PM2.5
34,吉林市,2014-10-26 00:00,175,中度污染,PM2.5
35,哈尔滨市,2014-10-26 00:00,272,重度污染,PM2.5
36,齐齐哈尔市,2014-10-26 00:00,50,优,None
37,大庆市,2014-10-26 00:00,129,轻度污染,PM2.5
38,牡丹江市,2014-10-26 00:00,105,轻度污染,PM2.5
39,上海市,2014-10-26 00:00,53,良,PM10
40,南京市,2014-10-26 00:00,112,轻度污染,PM2.5
41,无锡市,2014-10-26 00:00,72,良,PM2.5
42,徐州市,2014-10-26 00:00,85,良,PM10
43,常州市,2014-10-26 00:00,120,轻度污染,PM2.5
44,苏州市,2014-10-26 00:00,54,良,PM2.5
45,南通市,2014-10-26 00:00,64,良,PM10
46,连云港市,2014-10-26 00:00,94,良,PM2.5
47,淮安市,2014-10-26 00:00,90,良,PM2.5
48,盐城市,2014-10-26 00:00,59,良,PM10
49,扬州市,2014-10-26 00:00,79,良,PM10
50,镇江市,2014-10-26 00:00,117,轻度污染,PM10
51,泰州市,2014-10-26 00:00,159,中度污染,PM2.5
52,宿迁市,2014-10-26 00:00,82,良,PM2.5
53,杭州市,2014-10-26 00:00,105,轻度污染,PM2.5
54,宁波市,2014-10-26 00:00,51,良,PM10
55,温州市,2014-10-26 00:00,65,良,PM10
56,嘉兴市,2014-10-26 00:00,61,良,PM10
57,湖州市,2014-10-26 00:00,85,良,PM2.5
58,金华市,2014-10-26 00:00,85,良,PM2.5
59,衢州市,2014-10-26 00:00,65,良,PM10,PM2.5
60,舟山市,2014-10-26 00:00,30,优,None
61,台州市,2014-10-26 00:00,65,良,PM2.5
62,丽水市,2014-10-26 00:00,73,良,PM2.5
63,绍兴市,2014-10-26 00:00,143,轻度污染,PM2.5
64,合肥市,2014-10-26 00:00,119,轻度污染,PM10
65,芜湖市,2014-10-26 00:00,128,轻度污染,PM2.5
66,马鞍山市,2014-10-26 00:00,118,轻度污染,PM2.5
67,福州市,2014-10-26 00:00,48,优,None
68,厦门市,2014-10-26 00:00,44,优,None
