序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-08-22 00:00,46,优,None
2,天津市,2014-08-22 00:00,108,轻度污染,PM10
3,石家庄市,2014-08-22 00:00,68,良,PM10
4,唐山市,2014-08-22 00:00,76,良,PM10
5,秦皇岛市,2014-08-22 00:00,48,优,None
6,邯郸市,2014-08-22 00:00,108,轻度污染,PM2.5
7,邢台市,2014-08-22 00:00,117,轻度污染,PM2.5
8,保定市,2014-08-22 00:00,169,中度污染,PM2.5
9,承德市,2014-08-22 00:00,45,优,None
10,沧州市,2014-08-22 00:00,86,良,PM10
11,廊坊市,2014-08-22 00:00,83,良,PM10
12,衡水市,2014-08-22 00:00,103,轻度污染,PM2.5
13,张家口市,2014-08-22 00:00,79,良,PM10
14,太原市,2014-08-22 00:00,60,良,PM10
15,大同市,2014-08-22 00:00,52,良,PM10
16,阳泉市,2014-08-22 00:00,86,良,PM10
17,长治市,2014-08-22 00:00,103,轻度污染,PM2.5
18,临汾市,2014-08-22 00:00,59,良,PM10
19,呼和浩特市,2014-08-22 00:00,71,良,PM10
20,包头市,2014-08-22 00:00,107,轻度污染,PM10
21,赤峰市,2014-08-22 00:00,61,良,PM10
22,鄂尔多斯市,2014-08-22 00:00,39,优,None
23,沈阳市,2014-08-22 00:00,203,重度污染,PM2.5
24,大连市,2014-08-22 00:00,166,中度污染,PM2.5
25,鞍山市,2014-08-22 00:00,250,重度污染,PM2.5
26,抚顺市,2014-08-22 00:00,190,中度污染,PM2.5
27,本溪市,2014-08-22 00:00,159,中度污染,PM2.5
28,丹东市,2014-08-22 00:00,124,轻度污染,PM2.5
29,锦州市,2014-08-22 00:00,240,重度污染,PM2.5
30,营口市,2014-08-22 00:00,98,良,PM2.5
31,盘锦市,2014-08-22 00:00,176,中度污染,PM2.5
32,葫芦岛市,2014-08-22 00:00,161,中度污染,PM10
33,长春市,2014-08-22 00:00,155,中度污染,PM2.5
34,吉林市,2014-08-22 00:00,165,中度污染,PM2.5
35,哈尔滨市,2014-08-22 00:00,54,良,PM10
36,齐齐哈尔市,2014-08-22 00:00,59,良,PM10
37,大庆市,2014-08-22 00:00,23,优,None
38,牡丹江市,2014-08-22 00:00,56,良,PM10
39,上海市,2014-08-22 00:00,89,良,PM2.5
40,南京市,2014-08-22 00:00,73,良,PM2.5
41,无锡市,2014-08-22 00:00,125,轻度污染,PM2.5
42,徐州市,2014-08-22 00:00,55,良,PM10
43,常州市,2014-08-22 00:00,73,良,PM2.5
44,苏州市,2014-08-22 00:00,112,轻度污染,PM2.5
45,南通市,2014-08-22 00:00,105,轻度污染,PM2.5
46,连云港市,2014-08-22 00:00,75,良,PM2.5
47,淮安市,2014-08-22 00:00,65,良,PM2.5
48,盐城市,2014-08-22 00:00,78,良,PM2.5
49,扬州市,2014-08-22 00:00,117,轻度污染,PM2.5
50,镇江市,2014-08-22 00:00,112,轻度污染,PM2.5
51,泰州市,2014-08-22 00:00,162,中度污染,PM2.5
52,宿迁市,2014-08-22 00:00,74,良,PM10
53,杭州市,2014-08-22 00:00,110,轻度污染,PM2.5
54,宁波市,2014-08-22 00:00,32,优,None
55,温州市,2014-08-22 00:00,45,优,None
56,嘉兴市,2014-08-22 00:00,73,良,PM2.5
57,湖州市,2014-08-22 00:00,93,良,PM2.5
58,金华市,2014-08-22 00:00,41,优,None
59,衢州市,2014-08-22 00:00,52,良,PM10,PM2.5
60,舟山市,2014-08-22 00:00,28,优,None
61,台州市,2014-08-22 00:00,54,良,PM2.5
62,丽水市,2014-08-22 00:00,29,优,None
63,绍兴市,2014-08-22 00:00,85,良,PM2.5
64,合肥市,2014-08-22 00:00,96,良,PM10
65,芜湖市,2014-08-22 00:00,70,良,PM2.5
66,马鞍山市,2014-08-22 00:00,91,良,PM10
67,福州市,2014-08-22 00:00,63,良,PM10
68,厦门市,2014-08-22 00:00,54,良,PM10
69,泉州市,2014-08-22 00:00,47,优,None
70,南昌市,2014-08-22 00:00,68,良,PM10
71,九江市,2014-08-22 00:00,73,良,PM10
72,济南市,2014-08-22 00:00,86,良,PM10
73,青岛市,2014-08-22 00:00,117,轻度污染,PM2.5
74,淄博市,2014-08-22 00:00,124,轻度污染,PM2.5
75,枣庄市,2014-08-22 00:00,80,良,PM10
76,东营市,2014-08-22 00:00,190,中度污染,PM2.5
77,烟台市,2014-08-22 00:00,108,轻度污染,PM2.5
78,潍坊市,2014-08-22 00:00,166,中度污染,PM2.5
79,济宁市,2014-08-22 00:00,94,良,PM2.5
80,泰安市,2014-08-22 00:00,93,良,PM2.5
81,威海市,2014-08-22 00:00,92,良,PM2.5
82,日照市,2014-08-22 00:00,119,轻度污染,PM2.5
83,莱芜市,2014-08-22 00:00,129,轻度污染,PM2.5
84,临沂市,2014-08-22 00:00,128,轻度污染,PM10
85,德州市,2014-08-22 00:00,94,良,PM10
86,聊城市,2014-08-22 00:00,98,良,PM10
87,滨州市,2014-08-22 00:00,117,轻度污染,PM2.5
88,菏泽市,2014-08-22 00:00,75,良,PM10
89,郑州市,2014-08-22 00:00,76,良,PM10
90,开封市,2014-08-22 00:00,79,良,PM10
91,洛阳市,2014-08-22 00:00,120,轻度污染,PM10
92,平顶山市,2014-08-22 00:00,64,良,PM10
93,安阳市,2014-08-22 00:00,78,良,PM2.5
94,焦作市,2014-08-22 00:00,113,轻度污染,PM10,PM2.5
95,三门峡市,2014-08-22 00:00,94,良,PM10
96,武汉市,2014-08-22 00:00,97,良,PM2.5
97,宜昌市,2014-08-22 00:00,149,轻度污染,PM2.5
98,荆州市,2014-08-22 00:00,123,轻度污染,PM2.5
99,长沙市,2014-08-22 00:00,120,轻度污染,PM2.5
100,株洲市,2014-08-22 00:00,63,良,PM2.5
101,湘潭市,2014-08-22 00:00,87,良,PM2.5
102,岳阳市,2014-08-22 00:00,118,轻度污染,PM2.5
103,常德市,2014-08-22 00:00,120,轻度污染,PM2.5
104,张家界市,2014-08-22 00:00,88,良,PM2.5
105,广州市,2014-08-22 00:00,34,优,None
106,韶关市,2014-08-22 00:00,44,优,None
107,深圳市,2014-08-22 00:00,25,优,None
108,珠海市,2014-08-22 00:00,22,优,None
109,汕头市,2014-08-22 00:00,31,优,None
110,佛山市,2014-08-22 00:00,40,优,None
111,江门市,2014-08-22 00:00,23,优,None
112,湛江市,2014-08-22 00:00,23,优,None
113,茂名市,2014-08-22 00:00,48,优,None
114,肇庆市,2014-08-22 00:00,16,优,None
115,惠州市,2014-08-22 00:00,26,优,None
116,梅州市,2014-08-22 00:00,44,优,None
117,汕尾市,2014-08-22 00:00,15,优,None
118,河源市,2014-08-22 00:00,16,优,None
119,阳江市,2014-08-22 00:00,32,优,None
120,清远市,2014-08-22 00:00,16,优,None
121,东莞市,2014-08-22 00:00,19,优,None
122,中山市,2014-08-22 00:00,15,优,None
123,潮州市,2014-08-22 00:00,62,良,PM2.5
124,揭阳市,2014-08-22 00:00,17,优,None
125,云浮市,2014-08-22 00:00,14,优,None
126,南宁市,2014-08-22 00:00,39,优,None
127,柳州市,2014-08-22 00:00,61,良,PM10
128,桂林市,2014-08-22 00:00,26,优,None
129,北海市,2014-08-22 00:00,24,优,None
130,海口市,2014-08-22 00:00,22,优,None
131,三亚市,2014-08-22 00:00,26,优,None
132,重庆市,2014-08-22 00:00,67,良,PM10
133,成都市,2014-08-22 00:00,48,优,None
134,自贡市,2014-08-22 00:00,94,良,PM2.5
135,攀枝花市,2014-08-22 00:00,87,良,PM10
136,泸州市,2014-08-22 00:00,84,良,PM2.5
137,德阳市,2014-08-22 00:00,44,优,None
138,绵阳市,2014-08-22 00:00,36,优,None
139,南充市,2014-08-22 00:00,75,良,PM2.5
140,宜宾市,2014-08-22 00:00,50,优,None
141,贵阳市,2014-08-22 00:00,75,良,PM10
142,遵义市,2014-08-22 00:00,83,良,PM2.5
143,昆明市,2014-08-22 00:00,63,良,PM10
144,曲靖市,2014-08-22 00:00,54,良,PM2.5
145,玉溪市,2014-08-22 00:00,41,优,None
146,拉萨市,2014-08-22 00:00,24,优,None
147,西安市,2014-08-22 00:00,109,轻度污染,PM2.5
